T_REC,NOAA_AR,TOTPOT,MEANPOT,EPSZ,TOTBSQ,TOTFZ,TOTABSTWIST
2010.05.04_17:24:00.000_TAI,11069,7.265489e+22,5501.1,-0.3687019193424324,5229536593.483387,-1018.8525657968606,1216.566630362739
2010.08.06_18:24:00.000_TAI,11093,2.24522e+23,6295.1,-0.3066304182256304,14440870563.459549,-2339.814305641651,2342.365915077236
2010.10.15_19:12:00.000_TAI,11112,7.395334e+22,2971.2,-0.454163945411238,7179321730.79921,-1722.9345667881744,2389.672058940356
2011.02.08_01:36:00.000_TAI,11153,6.688043e+22,3373.1,-0.54861213040489,7219961412.515813,-2093.0180313980604,1178.7999591721389
2011.02.12_17:36:00.000_TAI,11158,6.762531e+22,5202.9,-0.28255439118425,5323465639.08771,-794.8207127950978,984.1588183661648
2011.02.13_17:24:00.000_TAI,11158,5.793296e+23,14078.0,-0.0314953514029192,27527128903.24016,-458.12078302699854,3577.874110498901
2011.02.14_01:48:00.000_TAI,11158,7.014759e+23,15349.0,-0.0609103266506883,33741086346.97802,-1085.9820348469316,3826.89829817622
2011.02.15_07:48:00.000_TAI,11161,8.403092e+22,3735.9,-0.5181944068678865,9015392531.740808,-2468.59567199102,1901.3384824767968
2011.02.15_14:24:00.000_TAI,11158,8.292732e+23,14985.0,-0.0397890587348193,37892726256.88918,-796.6953183841432,4428.5126077627065
2011.02.17_10:00:00.000_TAI,11158,6.428692e+23,10860.0,-0.2303579866741237,37724957271.72985,-4592.030039495076,5002.580592258692
2011.02.17_10:24:00.000_TAI,11162,2.850954e+23,8984.4,-0.2101540960431289,17050543017.378609,-1893.427791922378,2518.405166284095
2011.02.17_13:00:00.000_TAI,11158,6.63249e+23,10909.0,-0.2287156458225893,38739559478.547134,-4681.911947032849,5103.712497092652
2011.02.17_14:12:00.000_TAI,11162,2.803724e+23,9608.0,-0.1983586270788618,16463349029.659103,-1725.6070234527267,2486.3022397528616
2011.02.17_21:00:00.000_TAI,11162,2.78909e+23,8282.0,-0.2196250019339963,17128337780.68236,-1987.7861313397093,2562.594170430419
2011.09.29_16:24:00.000_TAI,11305,2.490956e+23,12067.0,-0.4322801897781458,18631190128.917816,-4255.774757854888,3602.455884036854
2011.03.06_05:12:00.000_TAI,11164,1.176023e+24,11872.0,-0.2069168797023859,64408721903.71484,-7042.279768949809,8699.150947065571
2011.03.06_08:00:00.000_TAI,11165,2.955719e+23,5381.1,-0.444187994721952,25202455656.06721,-5915.375595873779,4215.227279892364
2011.03.06_08:12:00.000_TAI,11164,1.188865e+24,10984.0,-0.2099883276140116,65019425622.8269,-7214.57952528752,8824.855135635786
2011.03.06_09:12:00.000_TAI,11164,1.1851e+24,11898.0,-0.1988388645027536,64023561614.35407,-6726.880581015983,8355.941561317488
2011.03.06_20:00:00.000_TAI,11164,1.094313e+24,9963.0,-0.2632894439625664,64400741378.27957,-8959.773814594962,8581.354267421399
2011.03.06_21:48:00.000_TAI,11165,5.280094e+23,6491.2,-0.4123671227548672,39297156339.9206,-8562.842181507018,5684.454202608051
2011.03.07_02:24:00.000_TAI,11165,6.151472e+23,7481.2,-0.3843613573867358,43329191761.959946,-8800.209559217561,5748.148331329677
2011.03.08_23:12:00.000_TAI,11166,9.641278e+23,15412.0,-0.0546348284423162,45491552594.58197,-1313.327493524958,5103.55852017859
2011.03.11_04:48:00.000_TAI,11166,1.08011e+24,14345.0,-0.1067800245543301,52872396115.95589,-2983.264110611061,6019.909779529228
2011.03.13_19:36:00.000_TAI,11169,3.845804e+23,8589.2,-0.2701735137080562,23529897104.33033,-3359.1976296465755,3677.4397613119295
2011.09.07_06:00:00.000_TAI,11283,3.494217e+23,8914.3,-0.3332211620544619,23064776130.37961,-4061.2011966983055,3807.4942546977727
2011.03.24_23:24:00.000_TAI,11176,6.941632e+23,6282.9,-0.3426350883960802,48395467327.99325,-8762.12120113241,7473.084131602039
2011.04.14_17:12:00.000_TAI,11190,4.096482e+23,7896.7,-0.2179877980563308,25667546759.75276,-2956.577178216417,5247.2901399080765
2011.04.21_04:48:00.000_TAI,11195,3.482241e+23,3863.0,-0.5168982946322996,34123508611.27331,-9320.335983712412,6642.837547758863
2012.07.01_05:48:00.000_TAI,11513,3.61573e+23,7389.2,-0.5060616183812865,35569116010.10174,-9511.504228071532,7442.991513577383
2011.06.06_06:36:00.000_TAI,11226,1.879337e+23,3703.9,-0.4558865059368672,16334165387.872189,-3934.834978591404,4021.683731244969
2011.07.26_16:00:00.000_TAI,11260,1.497525e+23,5375.5,-0.4271314797233473,12329043274.387497,-2782.683797774805,2673.170516129158
2015.11.03_07:24:00.000_TAI,12445,3.745396e+23,9441.1,-0.288350706887546,23821150410.70581,-3629.581528053551,3647.566077559648
2011.08.01_06:24:00.000_TAI,11261,6.319771e+23,12170.0,-0.0477640672611647,30248562887.57112,-763.4469578645561,5008.848419270242
2011.08.02_03:36:00.000_TAI,11261,5.872149e+23,13596.0,-0.0313434251396348,27774036410.81612,-460.000509015127,4026.595818770285
2011.08.02_04:36:00.000_TAI,11263,1.176319e+24,21462.0,-0.0323837195318815,51807274793.67288,-886.5237180768178,3878.369126414296
2011.04.22_06:36:00.000_TAI,11195,5.269515e+23,5259.9,-0.0598191891681746,25531531904.11063,-807.0310628119998,3979.908633526136
2011.08.03_03:48:00.000_TAI,11261,5.598505e+23,12052.0,-0.096059911167252,27764659529.97798,-1409.312643458435,4414.785641455149
2011.08.07_18:12:00.000_TAI,11263,8.488264e+23,12023.0,-0.176643324941946,44393052964.99416,-4143.669640303072,4906.310625317463
2011.08.08_03:48:00.000_TAI,11263,7.577109e+23,10685.0,-0.2410205429197061,43365415255.21529,-5522.941060285869,4740.769940067825
2011.08.08_08:00:00.000_TAI,11263,7.227387e+23,9830.8,-0.2437968217313735,41477582308.92304,-5343.358386140757,4303.69624301685
2011.09.03_11:48:00.000_TAI,11286,1.732729e+23,4459.1,-0.4085277511122856,14332397554.624607,-3093.949008172196,2787.4039155086944
2011.09.04_04:24:00.000_TAI,11286,1.645209e+23,4593.8,-0.4569868649370628,14590409810.166548,-3523.2542623818927,2782.992216079805
2011.09.03_17:48:00.000_TAI,11286,1.637274e+23,4910.5,-0.464785223015208,14573441920.764038,-3579.209938305948,2815.784970037568
2011.09.05_01:48:00.000_TAI,11283,3.704313e+23,7791.1,-0.1603268292310589,21503639779.59408,-1821.7590656738007,3874.120947813439
2011.09.05_22:24:00.000_TAI,11283,3.594993e+23,8419.1,-0.1159410444716139,19439373488.09289,-1190.9464991039115,3336.5411871269207
2011.09.06_22:36:00.000_TAI,11283,3.384889e+23,10300.0,-0.1298513293652801,17860217009.770603,-1225.4790719708988,2942.494792112735
2013.10.11_16:48:00.000_TAI,11865,3.120516e+23,6870.8,-0.1603130894333833,16336432838.183607,-1383.881687575909,3285.3671269223632
2011.09.08_06:12:00.000_TAI,11283,3.297407e+23,7588.8,-0.2307318506751784,18869502572.419533,-2300.5986630525,3667.073705127292
2011.09.08_12:48:00.000_TAI,11283,3.125322e+23,6845.6,-0.2504126386091307,18365383652.83229,-2430.127797079545,3724.3665621654873
2014.02.15_16:24:00.000_TAI,11977,3.675456e+23,7413.9,-0.3388423579512642,24263022221.163376,-4344.255168478348,4824.558094890071
2014.06.14_23:12:00.000_TAI,12087,2.644129e+23,5231.1,-0.5424516758469194,26932819237.849564,-7719.971056278241,4904.257753696434
2011.09.22_02:00:00.000_TAI,11295,6.139061e+23,5521.9,-0.3691291769174105,43929150468.91462,-8568.484842003689,8581.414666633196
2015.03.15_20:12:00.000_TAI,12297,6.436323e+23,11432.0,-0.4177319884260934,48747052515.575584,-10760.161700878769,8283.242253590637
2015.09.29_15:00:00.000_TAI,12422,1.525979e+24,14403.0,-0.1858562942518982,77360783583.10828,-7597.502878583216,7046.944296137299
2014.06.10_08:36:00.000_TAI,12080,1.510123e+24,12128.0,-0.206602187194616,78211355819.69627,-8538.419656516638,7158.588506674743
2011.09.23_17:00:00.000_TAI,11295,8.594489e+23,7156.2,-0.3778392469072007,58569800374.78023,-11693.74597570903,7849.050050178725
2011.09.23_17:24:00.000_TAI,11302,1.603959e+24,15260.0,-0.1997025365787114,81900636628.3265,-8642.584781637783,7762.1090793552
2014.01.13_04:24:00.000_TAI,11944,1.620184e+24,9994.3,-0.198644013557081,82911089283.45328,-8702.838699436132,8227.44049121367
2011.09.23_19:24:00.000_TAI,11302,1.734584e+24,16286.0,-0.1598369601669474,84707736218.03972,-7154.397688088148,7529.501921708532
2015.08.24_09:48:00.000_TAI,12403,1.659259e+24,14477.0,-0.1969437986327254,85205041799.16994,-8867.072426543185,7667.964159926211
2011.09.24_02:36:00.000_TAI,11302,1.882948e+24,17684.0,-0.1407727030387023,90619121450.6807,-6740.792989296327,7812.918958260803
2011.09.24_04:48:00.000_TAI,11302,1.875758e+24,19251.0,-0.1151085428795228,87602577668.72116,-5328.404906700112,7801.72418275831
2011.11.05_22:24:00.000_TAI,11339,1.813552e+24,12383.0,-0.0931932835475033,82086600212.42987,-4042.309750192947,8102.093037515268
2011.09.24_09:36:00.000_TAI,11303,2.432571e+22,2691.3,-0.5538433674962292,2773803811.254012,-811.7746267211337,510.6064743819624
2011.09.24_15:36:00.000_TAI,11302,1.879915e+24,19711.0,-0.054743173990419,81095173309.30998,-2345.8361580869487,7692.584057545852
2011.09.24_17:00:00.000_TAI,11303,7.703536e+22,5231.9,-0.4589203409711508,6775402667.585993,-1643.029058902854,964.3511933560176
2011.11.04_23:24:00.000_TAI,11339,1.854509e+24,12012.0,-0.0951326474177469,85737039434.88794,-4309.9365940216685,7167.538022407657
2012.03.07_15:00:00.000_TAI,11429,1.741473e+24,16391.0,-0.0463391701049065,76444445448.75282,-1871.832656188796,6949.439192880786
2011.09.27_13:24:00.000_TAI,11302,1.552967e+24,20598.0,0.0112315436411437,65778751096.93887,390.3891811855244,5253.547472352417
2011.09.29_19:12:00.000_TAI,11305,2.785752e+23,13906.0,-0.078928611620452,13612111124.982763,-567.7180361441405,1475.663273368948
2011.09.30_10:00:00.000_TAI,11305,2.98187e+23,16653.0,-0.0289536166440679,13661567017.519505,-209.0143621867828,1173.4355210296494
2011.10.01_00:48:00.000_TAI,11305,3.632628e+23,16824.0,-0.0363744325652829,16971639287.63255,-326.20658233319176,1385.0997384682746
2011.10.01_17:24:00.000_TAI,11302,8.872526e+23,12921.0,-0.1938319895013013,48013463045.94447,-4917.691387571108,5301.594537048008
2011.10.20_13:00:00.000_TAI,11314,8.426677e+23,5866.0,-0.3713887294394251,59122598717.79928,-11602.589261117071,8088.778598662468
2011.10.21_11:12:00.000_TAI,11319,8.19623e+23,6532.2,-0.3503734531788321,54623129806.73784,-10113.010342287516,5936.627511272275
2011.11.03_20:36:00.000_TAI,11339,1.901159e+24,13303.0,-0.2030506792288216,100038271194.41573,-10733.548149904169,9800.115740354451
2011.11.04_03:36:00.000_TAI,11339,1.833978e+24,13113.0,-0.2085840993047252,98202670664.22765,-10823.735521773157,9860.456858576315
2011.11.04_11:24:00.000_TAI,11339,1.725378e+24,12052.0,-0.1965420104064204,90997201591.67244,-9450.529834211273,10017.789773419454
2011.11.05_03:12:00.000_TAI,11339,1.823555e+24,13115.0,-0.1999926236435187,96990082995.74892,-10249.766682510695,11054.360916367708
2011.11.05_01:00:00.000_TAI,11339,1.861027e+24,12102.0,-0.1933671823271484,98452778659.70476,-10059.663572760022,10684.762107140625
2011.11.05_06:36:00.000_TAI,11339,1.787826e+24,11998.0,-0.165300668342135,91463020135.48572,-7989.007648111978,10637.98947791457
2011.11.08_13:36:00.000_TAI,11342,4.584496e+23,6113.1,-0.3371578883973216,31375085672.0115,-5589.731544597133,6091.084003317824
2011.11.14_12:48:00.000_TAI,11346,1.792868e+23,4169.8,-0.474107698156029,16224876080.507812,-4064.723967373121,3333.8770910382677
2011.12.25_02:24:00.000_TAI,11387,2.704499e+22,3678.6,-0.3883841924276367,2618814379.474797,-537.4510321413493,684.2092179786184
2011.12.25_20:36:00.000_TAI,11387,1.836555e+23,9860.3,-0.1595928298945634,10155385013.471811,-856.4112342706172,2007.52436654484
2011.12.29_03:12:00.000_TAI,11389,7.398967e+23,5941.9,-0.4109551378851519,53208239733.14445,-11554.35965002011,7949.583385019607
2011.12.30_13:12:00.000_TAI,11389,7.382831e+23,6449.9,-0.3583915065033002,51415895342.75079,-9737.055489192762,9165.229496550131
2011.12.30_16:24:00.000_TAI,11389,7.584877e+23,6007.0,-0.3501103568385689,52032741948.22477,-9626.187562497766,8927.949829614705
2012.01.17_19:12:00.000_TAI,11401,1.435965e+24,7230.2,-0.2704008878557514,84566746739.12685,-12083.15381650792,11380.031334258849
2012.01.22_04:00:00.000_TAI,11402,9.740555e+23,8185.3,-0.2723791174242197,61124106076.1294,-8797.49348731212,10604.53248398174
2012.02.05_20:00:00.000_TAI,11410,2.874178e+23,5158.3,-0.4104502479438568,21738781055.490314,-4714.8545881276505,3789.080910736656
2012.03.04_04:00:00.000_TAI,11429,9.055846e+23,14848.0,-0.22678635194743,48525213397.60417,-5815.097960970187,3381.868812016284
2012.03.04_19:12:00.000_TAI,11429,9.248852e+23,13193.0,-0.2614381553622998,53298334829.011536,-7363.008329356898,5012.008065147217
2012.03.04_19:36:00.000_TAI,11429,9.253377e+23,13361.0,-0.2600418442441644,53203876254.33557,-7310.7035660030515,5108.6008563328505
2012.03.04_22:36:00.000_TAI,11429,1.073206e+24,14001.0,-0.2228646250099671,58700719348.6627,-6912.853143074532,5311.661272508673
2012.03.05_00:24:00.000_TAI,11429,1.109898e+24,14309.0,-0.2302487173546112,60993405614.41195,-7420.834567806227,5753.737283227294
2014.11.30_04:24:00.000_TAI,12222,1.146602e+24,17296.0,-0.2248436152842564,62832780034.28,-7465.167822786213,5890.297168198033
2012.03.05_04:00:00.000_TAI,11429,1.196389e+24,14435.0,-0.2107159921160361,64008236081.83067,-7126.987779393269,6292.116724735876
2012.03.05_08:00:00.000_TAI,11430,1.234815e+24,15182.0,-0.1981076417586844,65250269350.73714,-6830.558421242996,6146.196117082251
2012.03.05_12:36:00.000_TAI,11429,1.242001e+24,16121.0,-0.1882548001234678,64915384890.39932,-6457.528847083494,5894.944218105426
2012.03.05_22:48:00.000_TAI,11430,1.54878e+24,17438.0,-0.1470944195222318,76183501128.23227,-5921.473561550802,7025.723421344354
2012.03.06_00:24:00.000_TAI,11430,1.604684e+24,18207.0,-0.1328987806723093,77811407539.56111,-5464.330717865316,7108.240169487399
2012.03.06_01:12:00.000_TAI,11430,1.609369e+24,18190.0,-0.1378813279413481,78332584123.1996,-5707.167357127043,7257.535023502563
2012.03.08_03:48:00.000_TAI,11429,1.68714e+24,16383.0,-0.0840549264467003,79239904772.8143,-3519.4912059433755,8680.55361953212
2013.11.13_23:48:00.000_TAI,11899,1.236781e+24,14245.0,-0.1391331898430085,62864228569.47228,-4621.756696856045,7886.166224525416
2012.03.12_17:36:00.000_TAI,11429,9.171169e+23,8246.2,-0.2935854288728765,56286830452.664055,-8732.004705384228,7050.102707214342
2012.03.13_15:24:00.000_TAI,11432,8.238706e+22,3338.0,-0.4276743470090788,7585205530.11388,-1714.1676015599655,2488.856822153519
2012.03.14_08:12:00.000_TAI,11432,7.232368e+22,3501.7,-0.3792635865370246,6219533916.395692,-1246.4408383204643,1721.1718318470623
2012.03.16_20:36:00.000_TAI,11434,2.637755e+22,4796.4,-0.3497861779512913,2449003545.013405,-452.6523780095789,494.1466578263117
2012.04.26_08:24:00.000_TAI,11466,1.77236e+23,8158.0,-0.2301242771619505,11880002227.38783,-1444.6136759546075,1637.2586571862823
2011.06.14_07:00:00.000_TAI,11236,3.21873e+23,8514.3,-0.2703303139972662,20384987353.240368,-2911.910349177173,3162.100860979433
2014.05.06_10:48:00.000_TAI,12056,1.206429e+24,10832.0,-0.2308910746647613,67084068179.00472,-8184.634593802562,7851.027171394391
2012.07.06_18:00:00.000_TAI,11520,1.34291e+24,8400.4,-0.1396318403697127,67603099635.70239,-4987.969634038597,8164.462413182588
2012.05.08_14:12:00.000_TAI,11476,1.379722e+24,13286.0,-0.1347793971692878,68924040803.72952,-4908.705168866747,8497.554477188483
2014.06.12_02:12:00.000_TAI,12085,1.537828e+24,9561.3,-0.1219863407944595,75836635480.356,-4888.358390697125,8519.381892958676
2012.05.09_04:24:00.000_TAI,11476,1.635062e+24,16277.0,-0.1112382444235433,79283732162.86856,-4660.269563053449,9105.74082105124
2012.05.09_20:24:00.000_TAI,11476,1.718353e+24,16973.0,-0.0688640889748791,79367792494.96512,-2888.084715704729,9165.537384258763
2012.05.16_01:48:00.000_TAI,11476,6.006366e+23,6038.8,-0.3653397982619665,40911809387.17836,-7898.02350563333,5322.3252170612295
2012.06.02_18:00:00.000_TAI,11496,4.400697e+23,3363.3,-0.5127815857792828,43464422603.43103,-11777.12049891243,8321.888015409333
2012.09.09_17:12:00.000_TAI,11564,2.988301e+23,2968.6,-0.110759694425173,14957786988.54172,-875.4310091602441,1747.5707232968468
2011.08.08_13:00:00.000_TAI,11263,6.819108e+23,9919.5,-0.1991220754598774,38195518919.43378,-4018.876302289653,5163.705982819383
2012.06.28_09:24:00.000_TAI,11513,2.124576e+23,5961.8,-0.3644041740675239,15418004747.981562,-2968.8226119906776,2741.8038447993385
2012.06.29_12:48:00.000_TAI,11513,2.597419e+23,5369.7,-0.398586169614932,20124983000.8142,-4238.680362957038,4157.510413235781
2012.06.29_18:36:00.000_TAI,11513,2.836797e+23,5424.9,-0.3638737744251938,20575012467.66749,-3956.067247691528,4151.151934862014
2012.06.30_19:24:00.000_TAI,11513,2.705454e+23,6980.0,-0.3018153401414736,18028792875.70277,-2875.284644195501,3503.7095182244584
2012.07.01_00:36:00.000_TAI,11513,3.138513e+23,5943.4,-0.298053135262822,21171476383.81756,-3334.3999860313365,4040.487605648226
2011.03.08_00:24:00.000_TAI,11166,7.466142e+23,13026.0,-0.1450596088132464,39042586679.97308,-2992.663954069049,5028.3252718743215
2012.07.01_20:12:00.000_TAI,11515,8.321153e+23,13474.0,-0.1237025038555277,42402254543.30978,-2771.661712670756,5352.009669177262
2012.07.02_00:00:00.000_TAI,11515,8.515967e+23,12344.0,-0.1144531016120362,43059042072.13971,-2604.1425221107143,5476.709324566459
2012.07.03_04:36:00.000_TAI,11515,9.317767e+23,11096.0,-0.1021979757333122,47280866986.92479,-2553.292634547832,6414.865521809526
2012.07.03_10:00:00.000_TAI,11515,9.905688e+23,12160.0,-0.0920116429985436,49463831957.51592,-2404.935295808224,6714.441823810356
2012.07.03_12:24:00.000_TAI,11515,1.030721e+24,12075.0,-0.075954538884996,50268534351.85182,-2017.543294543012,6856.52780352299
2011.03.10_04:36:00.000_TAI,11166,1.073962e+24,15661.0,-0.0727757260806586,51844175267.93768,-1993.697831396304,7253.61944161904
2012.07.03_16:36:00.000_TAI,11513,4.689251e+23,10574.0,-0.1728679096556183,26485051086.58962,-2419.290658973398,3371.141511479024
2013.10.27_12:36:00.000_TAI,11875,1.103827e+24,10100.0,-0.0955837062911511,55048824603.14192,-2780.383893786575,7375.011125792835
2012.07.04_00:00:00.000_TAI,11515,1.089898e+24,12507.0,-0.1127165016384885,55778176992.24038,-3322.1918118782887,7530.658181881698
2014.12.03_14:36:00.000_TAI,12222,1.089039e+24,15162.0,-0.1164518651084617,56114031790.148766,-3452.9538118280348,7610.5052815994095
2012.07.29_18:36:00.000_TAI,11536,1.105031e+24,7871.0,-0.1128587260029371,56349275841.87629,-3360.4419061512176,7733.802829205012
2012.07.04_02:12:00.000_TAI,11515,1.107399e+24,12830.0,-0.1093108127328018,56105025565.09769,-3240.691897319263,7775.969277245092
2011.03.05_23:00:00.000_TAI,11164,1.138248e+24,11515.0,-0.1041279409164278,56704689687.25424,-3120.032693144637,7825.363055645327
2015.06.24_06:48:00.000_TAI,12371,1.165959e+24,13966.0,-0.0931782424120699,57206060430.36209,-2816.627469198124,8123.981214795997
2013.11.03_16:36:00.000_TAI,11890,1.179106e+24,9591.3,-0.0931067788008447,57897302022.02586,-2848.475223460832,8322.467679144382
2012.07.04_20:12:00.000_TAI,11515,1.312515e+24,13082.0,-0.111608921053696,64826908719.53959,-3823.200657002867,9137.425968878477
2012.07.04_21:12:00.000_TAI,11515,1.341671e+24,13864.0,-0.1077439759855159,66098092035.337685,-3763.177993454552,9261.32919945895
2012.07.05_01:36:00.000_TAI,11515,1.317385e+24,14240.0,-0.1313803838810952,67262953642.16723,-4669.595735499472,9286.409187263567
2012.07.05_02:48:00.000_TAI,11515,1.319249e+24,14250.0,-0.1326715285463179,67879167023.35597,-4758.685886382164,9264.462810960127
2012.07.05_08:24:00.000_TAI,11515,1.326982e+24,13612.0,-0.1411711647255309,68658040168.59226,-5121.654657109358,9246.58693462576
2015.08.28_15:00:00.000_TAI,12403,1.29705e+24,10943.0,-0.146257966901554,67733944713.11589,-5234.783387780812,8972.311696945362
2012.07.05_13:36:00.000_TAI,11515,1.307056e+24,13422.0,-0.1533547382628574,68355184619.751526,-5539.128967853271,9367.604204834248
2012.07.05_19:00:00.000_TAI,11515,1.433693e+24,13050.0,-0.1657109304472818,75628562097.26105,-6622.315759664383,10496.905369574692
2012.03.06_12:24:00.000_TAI,11430,1.476021e+24,16169.0,-0.1754356644744188,78467477721.63882,-7274.1195759460925,10396.96421670072
2012.07.06_03:12:00.000_TAI,11515,1.514889e+24,14261.0,-0.1812506988802292,80774241888.27966,-7736.160319074805,10348.542043138914
2011.09.27_14:00:00.000_TAI,11302,1.551061e+24,20908.0,-0.1972773088181113,83328544144.42458,-8686.480274183505,10139.353956400157
2017.09.07_08:24:00.000_TAI,12673,1.587956e+24,18367.0,-0.2560948879958525,91824173331.49634,-12425.980397459907,10371.203550513748
2012.03.05_21:48:00.000_TAI,11429,1.53172e+24,17025.0,-0.2552027113891791,88056822192.49374,-11874.658483345062,9935.421269740466
2012.07.07_16:36:00.000_TAI,11515,1.515482e+24,11758.0,-0.2788421389332616,88558127738.45633,-13048.470573670242,10043.326923257882
2012.07.08_23:12:00.000_TAI,11520,2.420712e+24,11533.0,-0.2151957870634999,132364324257.64618,-15051.423939369042,15850.80785583785
2012.07.09_05:12:00.000_TAI,11520,2.509345e+24,12538.0,-0.191560508630628,133207732070.7495,-13483.673942840447,16135.09452299035
2012.07.09_06:24:00.000_TAI,11520,2.466786e+24,12738.0,-0.1903281510719918,130987381945.69247,-13173.626013756631,15856.620442740144
2012.07.12_14:48:00.000_TAI,11520,2.279624e+24,12369.0,-0.0996253125136768,110795441331.38664,-5832.6293752962265,12791.383798094526
2012.07.13_05:00:00.000_TAI,11521,2.30574e+24,12284.0,-0.137300909156058,115789654561.23984,-8400.709791978808,13470.479920526672
2012.07.27_21:00:00.000_TAI,11532,9.52456e+23,6376.1,-0.4044711058248088,71310204422.61078,-15240.950447820524,10532.347790052752
2012.07.28_06:24:00.000_TAI,11532,9.561061e+23,6691.4,-0.3804407091891303,69556871471.16269,-13982.982725390952,10408.162231165124
2014.12.04_05:48:00.000_TAI,12222,1.048223e+24,13968.0,-0.2826369056934678,64478380804.965485,-9629.766917062148,10843.172871808812
2012.08.10_12:24:00.000_TAI,11540,3.338508e+23,3747.4,-0.4566004503573176,29546859782.98007,-7128.866617574327,6661.329680405235
2012.09.05_04:12:00.000_TAI,11560,2.054239e+23,5704.0,-0.3789846947058311,15624526926.490835,-3128.9698660157005,2857.902692013951
