,FLARE_TYPE,COINCIDENCE,d_l_f_1,d_l_f_2,d_l_f_3,d_l_f_4,d_l_f_5,d_l_f_6,d_l_f_7,d_l_f_8,d_l_f_9,d_l_f_10,d_l_f_11,d_l_f_12,d_l_f_13,d_l_f_14,d_l_f_15,d_l_f_16,d_l_f_17,d_l_f_18,d_l_f_19,d_l_f_20,d_l_f_21,d_l_f_22,d_l_f_23,d_l_f_24,d_l_f_25,d_l_f_26,d_l_f_27,d_l_f_28,d_l_f_29,d_l_f_30,d_l_f_31,d_l_f_32,d_l_f_33,d_l_f_34,d_l_f_35,d_l_f_36,d_l_f_37,d_l_f_38,d_l_f_39,d_l_f_40,d_l_f_41,d_l_f_42,d_l_f_43,d_l_f_44,d_l_f_45,d_l_f_46,d_l_f_47,d_l_f_48,d_l_f_49,d_l_f_50,d_l_f_51,d_l_f_52,d_l_f_53,d_l_f_54,d_l_f_55,d_l_f_56,d_l_f_57,d_l_f_58,d_l_f_59,d_l_f_60,d_l_f_61,d_l_f_62,d_l_f_63,d_l_f_64,d_l_f_65,d_l_f_66,d_l_f_67,d_l_f_68,d_l_f_69,d_l_f_70,d_l_f_71,d_l_f_72,d_l_f_73,d_l_f_74,d_l_f_75,d_l_f_76,d_l_f_77,d_l_f_78,d_l_f_79,d_l_f_80,d_l_f_81,d_l_f_82,d_l_f_83,d_l_f_84,d_l_f_85,d_l_f_86,d_l_f_87,d_l_f_88,d_l_f_89,d_l_f_90,d_l_f_91,d_l_f_92,d_l_f_93,d_l_f_94,d_l_f_95,d_l_f_96,d_l_f_97,d_l_f_98,d_l_f_99,d_l_f_100,d_l_f_101,d_l_f_102,d_l_f_103,d_l_f_104,d_l_f_105,d_l_f_106,d_l_f_107,d_l_f_108,d_l_f_109,d_l_f_110,d_l_f_111,d_l_f_112,d_l_f_113,d_l_f_114,d_l_f_115,d_l_f_116,d_l_f_117,d_l_f_118,d_l_f_119
24,B,False,98.615,98.732,99.725,100.72,101.71,101.71,101.71,101.6,102.59,102.59,102.49,103.59,104.48,104.48,104.48,105.57,105.39,105.48,107.38,108.46,108.46,109.55,0.0,110.45,110.45,112.45,112.36,112.45,113.53,113.53,113.53,113.44,114.53,115.52,115.62,116.43,115.52,115.52,116.52,117.52,117.61,117.52,118.51,118.25,118.73,117.52,119.51,119.51,119.51,120.5,120.42,120.5,122.49,122.49,122.41,123.41,123.41,123.33,124.33,124.33,123.33,125.32,125.32,0.0,0.0,0.0,0.0,128.39,129.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.166,26.077,27.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.763,16.155,0.0,16.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.56,0.0,0.0,0.0,0.0,0.0,13.153,0.0,14.56,0.0,0.0,0.0,15.524,15.811,14.866,0.0,14.56,0.0,0.0,0.0,0.0,13.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.09,51.039,51.039,52.393,51.431,52.54,49.493,53.474,53.813,59.18,60.369,61.045,64.008,64.008,65.008,63.567,64.631,66.863,66.068,67.067,68.066,68.629,68.118,68.833,68.843,68.715,68.162,69.189,71.152,71.308,72.452,72.79,72.636,74.731,74.837,74.866,74.818,74.9,75.852,76.876,76.989,75.434,74.385,76.205,76.67
26,B,False,239.97,243.67,249.52,249.83,253.11,253.44,249.89,255.04,256.24,251.65,251.0,250.51,252.74,249.1,251.84,256.18,252.64,257.63,257.01,257.53,256.81,257.3,259.14,260.17,262.15,261.9,262.06,262.15,262.59,261.37,261.58,261.46,260.86,263.01,262.54,262.58,263.43,264.71,263.93,264.29,265.26,264.88,266.1,264.58,261.17,260.92,262.05,260.37,255.39,253.49,254.08,256.33,256.07,257.15,259.95,261.51,261.84,262.99,261.43,260.1,258.4,257.42,255.59,254.9,252.4,250.8,246.75,244.2,243.94,242.37,241.74,242.84,243.34,242.64,243.28,243.88,239.67,237.76,238.96,237.69,236.37,241.51,242.88,242.74,243.74,244.97,243.18,244.09,243.65,242.92,247.0,243.9,248.35,251.7,255.33,254.89,258.92,260.85,258.45,258.72,259.43,253.42,253.58,252.32,248.86,251.96,250.86,249.68,250.46,243.95,248.06,257.42,252.11,252.16,249.67,249.98,248.63,243.06,242.78
27,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.77,22.804,0.0,21.587,20.616,0.0,0.0,0.0,17.047,20.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.021,22.023,21.024,21.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.21,142.95,0.0,143.01,143.01,143.09,143.09,143.75,143.75,143.75,143.75,144.5
29,B,True,0.0,0.0,0.0,21.401,22.204,22.204,20.809,0.0,20.809,20.809,0.0,0.0,22.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.809,24.042,24.042,24.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.698,23.409,22.136,0.0,0.0,0.0,0.0,0.0,0.0,22.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.847,22.472,22.472,21.541,21.541,0.0,21.541,20.616
30,B,False,105.35,108.98,104.89,102.13,100.57,100.42,100.11,105.2,106.81,107.51,106.23,112.51,107.61,107.52,110.07,112.3,113.52,112.74,109.76,113.34,112.46,114.74,113.38,110.64,112.23,116.15,117.31,115.12,114.92,117.55,106.47,106.74,107.78,109.0,108.51,122.25,126.68,123.62,125.92,130.46,129.21,128.69,132.2,131.34,134.88,133.69,132.55,130.87,112.91,113.91,40.803,145.68,117.26,104.4,0.0,41.012,0.0,0.0,0.0,160.38,160.38,0.0,0.0,160.61,161.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.58,138.58,138.58,138.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.93,139.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,B,False,246.86,243.11,251.2,249.97,252.53,249.6,250.47,249.24,247.45,244.6,240.83,242.19,247.27,241.03,245.7,246.67,238.37,234.69,234.92,239.84,244.97,241.51,243.23,244.78,243.47,249.84,248.65,254.14,244.45,259.67,255.1,257.04,269.55,266.81,267.12,267.55,261.17,263.87,286.39,271.7,256.53,254.24,256.51,261.0,254.96,259.63,256.19,255.14,261.51,258.19,264.35,270.19,258.85,255.62,249.94,250.69,255.53,256.69,270.13,260.94,270.53,272.62,272.85,273.02,287.39,287.45,287.45,287.45,287.45,286.45,286.45,286.45,287.45,287.45,287.45,287.45,287.45,287.45,287.45,287.45,287.39,287.39,287.39,287.34,287.34,288.29,287.29,287.29,288.29,288.25,288.25,288.25,288.25,288.29,288.29,288.29,287.29,287.29,288.29,288.29,288.29,288.34,288.34,288.5,288.34,288.29,0.0,0.0,190.09,0.0,289.29,288.34,0.0,0.0,0.0,0.0,0.0,288.29,0.0
32,B,False,19.162,24.61,18.746,15.791,10.871,11.883,14.142,14.142,14.213,13.454,13.454,12.806,13.601,11.096,13.601,12.042,13.454,14.213,14.213,0.0,0.0,12.806,11.402,11.433,11.243,10.973,0.0,0.0,0.0,22.509,25.114,0.0,0.0,193.64,193.64,193.08,193.2,191.86,192.3,191.86,191.86,191.86,191.86,157.32,191.86,191.42,191.42,192.31,191.42,212.4,191.88,192.35,191.93,221.13,221.34,222.22,216.64,214.12,216.21,224.62,219.67,193.74,193.74,192.84,194.16,195.07,194.16,194.65,193.74,194.65,195.15,196.06,195.15,194.65,194.65,194.7,194.72,194.65,194.65,196.3,195.98,195.98,195.98,195.98,196.89,197.13,195.56,196.89,196.89,197.31,198.21,157.76,164.86,158.26,155.28,155.17,140.61,134.29,101.5,102.02,100.48,92.498,94.573,91.029,95.985,101.3,99.392,77.78,79.517,91.52,109.17,120.72,129.39,85.489,86.664,79.102,69.964,65.037,58.755
33,B,False,26.0,26.0,40.395,27.019,55.036,55.036,55.036,27.0,27.0,55.036,45.686,45.686,0.0,22.378,21.097,0.0,0.0,14.142,13.153,13.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.646,56.08,55.082,57.035,48.875,81.944,105.12,78.334,64.662,69.669,64.803,62.582,63.033,65.667,62.303,65.967,59.524,61.424,59.384,52.809,53.009,53.009,61.564,52.0,51.0,52.118,65.925,60.21,47.024,52.266,54.521,52.593,45.177,45.1,44.045,43.105,44.045,44.011,44.045,45.011,45.011,44.045,43.105,64.903,72.003,65.634,58.71,76.772,83.268,72.396,62.911,65.954,105.86,59.805,102.47,107.54,106.07,106.75,106.13,102.34,100.75,98.516,102.26,91.788,91.924,91.924,102.88,101.24,92.779,93.771,93.771,94.763,93.771,94.763,94.895,95.885,95.885,96.876,97.015,96.876,96.876,97.867,97.739,98.615,98.615,98.732,99.725,100.72,101.71,101.71,101.71,101.6
34,B,False,20.809,0.0,20.809,20.809,0.0,0.0,22.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.809,24.042,24.042,24.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.698,23.409,22.136,0.0,0.0,0.0,0.0,0.0,0.0,22.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.847,22.472,22.472,21.541,21.541,0.0,21.541,20.616,0.0,21.19,20.248,19.647,20.248,19.925
35,B,True,162.23,162.22,162.69,163.27,163.27,163.27,162.92,163.27,162.58,161.57,161.11,162.69,162.93,162.93,162.93,161.99,161.47,161.09,162.04,161.98,161.97,161.4,162.34,162.59,160.98,161.87,163.55,162.86,164.05,164.59,164.24,164.1,164.57,164.15,165.06,164.21,163.84,164.98,164.7,165.25,165.26,164.62,165.02,164.62,163.79,162.66,162.59,162.59,162.59,162.59,163.58,163.37,163.73,163.09,164.51,163.17,163.62,163.09,163.13,164.19,163.68,164.21,164.21,163.84,164.5,164.44,165.03,166.43,165.25,164.21,164.21,164.21,164.21,163.87,164.21,165.15,165.15,165.41,164.81,164.81,164.81,163.87,164.81,164.47,165.41,165.41,165.08,165.08,165.41,165.8,166.34,165.69,164.66,165.33,165.53,163.27,13.038,164.21,164.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,B,False,128.08,129.73,128.61,126.21,125.97,131.42,113.48,107.42,117.34,135.46,118.02,117.02,0.0,148.66,148.66,35.06,117.04,77.106,118.04,128.65,119.07,120.07,120.13,33.499,32.65,0.0,90.758,84.526,80.035,81.582,65.413,66.284,90.594,95.53,82.154,89.579,66.807,90.028,125.18,68.582,65.043,123.19,124.25,32.684,0.0,0.0,0.0,150.22,150.29,32.802,0.0,0.0,0.0,38.136,38.136,0.0,0.0,0.0,26.82,34.059,34.059,33.601,0.0,32.65,0.0,29.941,29.148,29.279,36.749,37.209,30.252,31.02,20.779,36.359,35.791,0.0,0.0,0.0,0.0,0.0,33.29,0.0,0.0,0.0,0.0,0.0,33.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.336,37.216,33.653,0.0,0.0,0.0,35.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.589,54.745,55.109,55.543,56.69,57.019,57.394,58.429,59.876,58.778,59.036,61.212,61.989,62.718,63.579,64.456,65.448,65.383,66.996,67.626,67.589,68.47,69.82,70.091,70.893,71.742,73.294,73.407,73.975,75.337,75.869,75.869,76.21,76.558,77.916,77.635,73.993,71.821,72.763,72.725,70.883,71.512,69.588,69.851,68.763,68.375,70.33,69.598,70.57,69.825,68.901,68.038,68.635,69.104,68.187,67.837,66.528,65.896,64.287,64.344,65.356,65.569,64.66,66.159,61.996,61.072,66.029,60.32,63.26,61.121,59.089,59.842,60.328,60.49,59.105,58.401,61.515,60.722,60.783,62.677,63.548,62.368,64.552,65.607,64.419,65.186,64.058,64.964,67.457,66.408,67.86,71.785,69.423,68.168,69.117,71.917,74.172,77.804,73.691,76.317,76.353,77.438,77.42,77.564,77.296,77.902
38,B,False,128.61,126.21,125.97,131.42,113.48,107.42,117.34,135.46,118.02,117.02,0.0,148.66,148.66,35.06,117.04,77.106,118.04,128.65,119.07,120.07,120.13,33.499,32.65,0.0,90.758,84.526,80.035,81.582,65.413,66.284,90.594,95.53,82.154,89.579,66.807,90.028,125.18,68.582,65.043,123.19,124.25,32.684,0.0,0.0,0.0,150.22,150.29,32.802,0.0,0.0,0.0,38.136,38.136,0.0,0.0,0.0,26.82,34.059,34.059,33.601,0.0,32.65,0.0,29.941,29.148,29.279,36.749,37.209,30.252,31.02,20.779,36.359,35.791,0.0,0.0,0.0,0.0,0.0,33.29,0.0,0.0,0.0,0.0,0.0,33.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.336,37.216,33.653,0.0,0.0,0.0,35.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.589,54.745,55.109,55.543,56.69,57.019,57.394,58.429,59.876,58.778,59.036,61.212,61.989,62.718,63.579,64.456,65.448,65.383,66.996,67.626,67.589,68.47,69.82,70.091,70.893,71.742,73.294,73.407,73.975,75.337,75.869,75.869,76.21,76.558,77.916,77.635,73.993,71.821,72.763,72.725,70.883,71.512,69.588,69.851,68.763,68.375,70.33,69.598,70.57,69.825,68.901,68.038,68.635,69.104,68.187,67.837,66.528,65.896,64.287,64.344,65.356,65.569,64.66,66.159,61.996,61.072,66.029,60.32,63.26,61.121,59.089,59.842,60.328,60.49,59.105,58.401,61.515,60.722,60.783,62.677,63.548,62.368,64.552,65.607,64.419,65.186,64.058,64.964,67.457,66.408,67.86
40,B,False,70.091,70.893,71.742,73.294,73.407,73.975,75.337,75.869,75.869,76.21,76.558,77.916,77.635,73.993,71.821,72.763,72.725,70.883,71.512,69.588,69.851,68.763,68.375,70.33,69.598,70.57,69.825,68.901,68.038,68.635,69.104,68.187,67.837,66.528,65.896,64.287,64.344,65.356,65.569,64.66,66.159,61.996,61.072,66.029,60.32,63.26,61.121,59.089,59.842,60.328,60.49,59.105,58.401,61.515,60.722,60.783,62.677,63.548,62.368,64.552,65.607,64.419,65.186,64.058,64.964,67.457,66.408,67.86,71.785,69.423,68.168,69.117,71.917,74.172,77.804,73.691,76.317,76.353,77.438,77.42,77.564,77.296,77.902,77.865,78.372,79.011,80.572,81.445,81.582,83.443,82.004,83.181,83.488,82.772,81.219,77.65,80.958,81.999,84.317,83.08,83.397,85.741,84.335,85.867,84.561,86.52,87.261,85.701,86.178,87.608,89.183,88.681,88.794,89.726,89.984,89.556,90.468,94.019,93.11
41,B,False,233.42,234.11,234.7,236.13,235.53,235.59,236.19,236.95,237.34,235.79,236.49,236.33,236.26,237.74,237.23,236.88,236.67,237.48,239.03,237.9,240.27,238.21,237.8,239.25,238.6,237.67,238.03,238.03,237.23,238.06,239.33,238.38,237.41,237.25,236.69,238.07,237.09,236.91,237.33,238.04,238.71,238.61,239.21,239.75,238.39,238.81,239.25,238.96,240.11,239.55,238.51,239.74,238.06,237.61,238.25,238.44,238.45,238.8,238.55,237.79,237.77,238.47,238.32,238.85,237.44,237.55,239.42,239.07,237.87,237.79,238.41,237.96,237.33,237.96,237.58,238.97,238.43,238.62,238.12,238.65,238.22,238.16,238.2,238.16,238.77,239.15,238.97,237.53,236.56,236.97,236.83,237.02,236.4,236.56,236.6,236.86,236.58,236.44,236.63,236.98,237.59,237.2,236.56,236.09,236.39,235.39,236.4,236.53,236.35,236.05,236.17,237.29,236.18,236.26,236.23,235.54,235.25,235.45,235.26
42,B,False,0.0,0.0,0.0,0.0,0.0,0.0,127.39,68.982,80.697,128.76,114.3,115.98,114.23,114.86,114.24,114.36,113.17,113.64,114.83,113.9,114.55,113.61,113.05,113.36,116.64,115.9,115.82,117.31,119.59,117.65,117.01,118.49,117.92,117.81,110.76,110.21,109.88,130.45,130.34,131.07,131.75,131.26,131.75,132.24,132.36,132.22,132.69,132.79,132.78,132.89,133.26,134.01,113.14,25.281,25.598,25.431,115.04,115.04,114.7,114.54,114.54,0.0,0.0,0.0,0.0,0.0,23.022,0.0,0.0,0.0,24.083,24.021,24.083,24.083,24.083,24.108,23.913,24.021,24.083,23.022,23.022,0.0,23.691,24.021,24.021,23.683,23.704,23.649,23.707,24.575,24.713,25.076,24.799,25.02,25.234,25.02,23.588,23.87,24.163,23.8,24.083,23.722,23.735,24.84,25.08,25.08,25.08,25.08,25.02,24.021,24.083,24.083,24.083,24.083,24.083,25.08,24.083,24.083,24.083
43,B,False,0.0,16.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.56,0.0,0.0,0.0,0.0,0.0,13.153,0.0,14.56,0.0,0.0,0.0,15.524,15.811,14.866,0.0,14.56,0.0,0.0,0.0,0.0,13.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.09,51.039,51.039,52.393,51.431,52.54,49.493,53.474,53.813,59.18,60.369,61.045,64.008,64.008,65.008,63.567,64.631,66.863,66.068,67.067,68.066,68.629,68.118,68.833,68.843,68.715,68.162,69.189,71.152,71.308,72.452,72.79,72.636,74.731,74.837,74.866,74.818,74.9,75.852,76.876,76.989,75.434,74.385,76.205,76.67,75.712,76.529,79.9,79.807,79.75,81.453,81.928,81.984,81.878,80.781,79.133,79.874,79.353,79.926,79.336,78.686,79.555,80.231,80.087,79.307,81.608,82.626,83.245,84.752
44,B,False,237.53,236.56,236.97,236.83,237.02,236.4,236.56,236.6,236.86,236.58,236.44,236.63,236.98,237.59,237.2,236.56,236.09,236.39,235.39,236.4,236.53,236.35,236.05,236.17,237.29,236.18,236.26,236.23,235.54,235.25,235.45,235.26,236.23,235.45,235.42,235.42,235.55,236.26,236.46,236.97,236.69,236.94,237.19,237.35,237.45,237.25,238.09,238.49,238.92,238.85,238.74,238.41,238.44,239.01,238.71,239.47,239.53,239.43,239.21,239.02,239.07,238.73,239.13,238.38,239.11,239.05,239.27,239.58,239.9,240.04,239.97,240.72,240.79,241.58,240.5,241.42,241.26,241.24,241.15,241.19,240.75,240.6,239.67,239.56,240.02,240.78,240.66,240.72,240.48,240.89,241.62,242.68,242.77,242.84,242.97,242.74,242.02,242.52,243.12,242.87,243.12,243.08,243.17,243.61,242.82,244.1,243.33,243.47,243.76,243.8,243.85,243.93,243.27,243.33,243.7,243.41,243.65,242.57,242.76
45,B,False,249.98,248.63,243.06,242.78,245.55,242.03,244.07,241.15,243.02,241.35,243.99,243.99,249.38,250.65,248.72,246.86,243.11,251.2,249.97,252.53,249.6,250.47,249.24,247.45,244.6,240.83,242.19,247.27,241.03,245.7,246.67,238.37,234.69,234.92,239.84,244.97,241.51,243.23,244.78,243.47,249.84,248.65,254.14,244.45,259.67,255.1,257.04,269.55,266.81,267.12,267.55,261.17,263.87,286.39,271.7,256.53,254.24,256.51,261.0,254.96,259.63,256.19,255.14,261.51,258.19,264.35,270.19,258.85,255.62,249.94,250.69,255.53,256.69,270.13,260.94,270.53,272.62,272.85,273.02,287.39,287.45,287.45,287.45,287.45,286.45,286.45,286.45,287.45,287.45,287.45,287.45,287.45,287.45,287.45,287.45,287.39,287.39,287.39,287.34,287.34,288.29,287.29,287.29,288.29,288.25,288.25,288.25,288.25,288.29,288.29,288.29,287.29,287.29,288.29,288.29,288.29,288.34,288.34,288.5
46,B,False,85.344,85.36,85.495,87.211,82.138,76.345,80.389,81.644,79.654,83.745,83.234,80.484,81.5,81.251,79.187,78.354,72.26,69.179,69.873,56.491,76.536,74.459,76.421,69.964,71.001,61.734,74.89,80.967,62.143,83.598,40.613,83.285,86.744,89.35,90.512,88.799,87.291,92.401,92.501,109.19,107.41,113.12,124.32,125.32,124.31,123.76,126.8,131.02,130.02,139.69,143.61,136.54,147.58,150.85,151.08,147.54,150.3,144.23,140.62,141.95,142.09,140.3,139.32,141.87,143.8,145.62,147.63,148.66,151.19,153.57,156.85,155.8,158.43,159.84,159.86,164.23,163.72,160.54,156.99,161.12,162.35,157.85,156.39,158.27,161.22,166.99,168.22,157.11,155.14,156.31,159.61,159.53,162.15,162.2,165.02,167.22,168.69,166.87,162.55,169.49,167.97,167.19,168.97,171.39,172.33,173.63,176.45,175.28,182.5,182.55,183.24,183.58,184.62,185.26,186.21,185.8,183.93,185.19,184.27
47,B,False,164.62,165.02,164.62,163.79,162.66,162.59,162.59,162.59,162.59,163.58,163.37,163.73,163.09,164.51,163.17,163.62,163.09,163.13,164.19,163.68,164.21,164.21,163.84,164.5,164.44,165.03,166.43,165.25,164.21,164.21,164.21,164.21,163.87,164.21,165.15,165.15,165.41,164.81,164.81,164.81,163.87,164.81,164.47,165.41,165.41,165.08,165.08,165.41,165.8,166.34,165.69,164.66,165.33,165.53,163.27,13.038,164.21,164.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.318,15.297,15.133,16.031,16.0,16.0,16.031,16.031,16.031,16.031,15.033,16.031,16.031,16.031,16.0,16.0,17.029,17.0,16.031,16.0,16.0,16.0,15.0,16.0,16.031,16.031,16.031,16.031,16.031,16.031,16.031,16.031,16.125,16.279
48,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,N,False,0.0,0.0,0.0,0.0,0.0,59.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,N,False,85.481,87.552,88.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1231,4.4721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
