,FLARE_TYPE,COINCIDENCE,g_s_1,g_s_2,g_s_3,g_s_4,g_s_5,g_s_6,g_s_7,g_s_8,g_s_9,g_s_10,g_s_11,g_s_12,g_s_13,g_s_14,g_s_15,g_s_16,g_s_17,g_s_18,g_s_19,g_s_20,g_s_21,g_s_22,g_s_23,g_s_24,g_s_25,g_s_26,g_s_27,g_s_28,g_s_29,g_s_30,g_s_31,g_s_32,g_s_33,g_s_34,g_s_35,g_s_36,g_s_37,g_s_38,g_s_39,g_s_40,g_s_41,g_s_42,g_s_43,g_s_44,g_s_45,g_s_46,g_s_47,g_s_48,g_s_49,g_s_50,g_s_51,g_s_52,g_s_53,g_s_54,g_s_55,g_s_56,g_s_57,g_s_58,g_s_59,g_s_60,g_s_61,g_s_62,g_s_63,g_s_64,g_s_65,g_s_66,g_s_67,g_s_68,g_s_69,g_s_70,g_s_71,g_s_72,g_s_73,g_s_74,g_s_75,g_s_76,g_s_77,g_s_78,g_s_79,g_s_80,g_s_81,g_s_82,g_s_83,g_s_84,g_s_85,g_s_86,g_s_87,g_s_88,g_s_89,g_s_90,g_s_91,g_s_92,g_s_93,g_s_94,g_s_95,g_s_96,g_s_97,g_s_98,g_s_99,g_s_100,g_s_101,g_s_102,g_s_103,g_s_104,g_s_105,g_s_106,g_s_107,g_s_108,g_s_109,g_s_110,g_s_111,g_s_112,g_s_113,g_s_114,g_s_115,g_s_116,g_s_117,g_s_118,g_s_119
33,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.2,82.607,75.064,70.053,67.568,82.2,70.778,58.015,77.709,82.055,90.373,71.645,68.98,76.975,84.225,82.613,51.822,46.33,49.668,80.498,65.461,51.211,47.498,39.363,43.873,44.337,39.927,47.264,43.546,47.559,46.97,48.064,50.268,52.213,58.974,56.934,54.359,43.186,45.083,39.649,32.833,38.201,38.049,41.872,38.918
34,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,B,True,560.65,540.42,462.27,256.35,253.76,261.59,336.16,263.44,347.32,339.83,529.95,471.26,262.97,281.3,291.22,284.92,330.48,617.97,477.11,456.78,479.7,246.29,244.15,495.69,485.45,468.28,910.67,697.23,818.29,425.29,432.81,496.1,264.94,271.47,425.08,236.3,450.14,472.92,453.04,654.93,651.61,433.29,448.15,492.87,770.27,496.39,295.98,299.15,303.06,283.26,503.87,481.75,478.76,468.05,468.09,462.33,250.94,453.62,455.21,682.02,479.3,483.77,259.52,503.77,525.38,513.23,494.13,255.5,499.04,264.89,268.27,267.27,272.6,265.34,263.8,265.43,256.23,252.19,253.17,226.75,244.3,255.38,260.89,265.36,277.9,279.97,277.33,270.75,271.97,290.0,273.55,258.43,251.86,470.95,492.62,241.92,0.0,260.57,257.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,B,False,6265.1,6318.4,6261.9,3156.0,3132.8,6087.8,6091.6,3139.4,6275.1,6359.1,0.0,0.0,0.0,3170.5,3125.1,0.0,0.0,0.0,0.0,3240.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3258.0,0.0,0.0,0.0,3177.9,3118.8,3094.7,3099.5,3155.6,3122.6,3162.2,0.0,3326.3,3242.3,0.0,0.0,0.0,0.0,3162.9,3189.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.533,34.247,52.436,71.232,145.76,165.87,175.09,213.76,223.53,441.07,493.41,498.06,350.54,382.21,370.99,388.97,410.32,431.45,401.64,425.31,438.03,413.12,394.03,397.49,455.21,362.31,346.54,345.28,348.23,301.97,308.9,301.94,311.95,351.93,345.89,335.19,669.05,680.5,704.03,646.36,671.14,662.92,768.53,691.29,764.83,760.01,721.14,731.4,712.39,729.47,744.49,735.04,769.26,736.87,758.76,590.55,590.25,578.61,595.46,598.06,616.25,596.75,612.02,598.63,1170.0,1155.6,579.0,1532.4,929.52,970.63,956.38,1052.4,1051.3,1013.3,1739.3,2527.1,1760.3,1706.8,1683.2,1760.8,1783.4,2137.4,2012.8,1957.2,2046.2,2037.4,1837.4,2012.6,1945.2,1508.7,1433.6,1394.6,1369.9,1378.9,1420.8,1426.4,1337.7,838.81,1302.0,772.01,762.93,709.64,718.46,659.2,868.6,904.72
38,B,False,6261.9,3156.0,3132.8,6087.8,6091.6,3139.4,6275.1,6359.1,0.0,0.0,0.0,3170.5,3125.1,0.0,0.0,0.0,0.0,3240.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3258.0,0.0,0.0,0.0,3177.9,3118.8,3094.7,3099.5,3155.6,3122.6,3162.2,0.0,3326.3,3242.3,0.0,0.0,0.0,0.0,3162.9,3189.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.533,34.247,52.436,71.232,145.76,165.87,175.09,213.76,223.53,441.07,493.41,498.06,350.54,382.21,370.99,388.97,410.32,431.45,401.64,425.31,438.03,413.12,394.03,397.49,455.21,362.31,346.54,345.28,348.23,301.97,308.9,301.94,311.95,351.93,345.89,335.19,669.05,680.5,704.03,646.36,671.14,662.92,768.53,691.29,764.83,760.01,721.14,731.4,712.39,729.47,744.49,735.04,769.26,736.87,758.76,590.55,590.25,578.61,595.46,598.06,616.25,596.75,612.02,598.63,1170.0,1155.6,579.0,1532.4,929.52,970.63,956.38,1052.4,1051.3,1013.3,1739.3,2527.1,1760.3,1706.8,1683.2,1760.8,1783.4,2137.4,2012.8,1957.2,2046.2,2037.4,1837.4,2012.6,1945.2,1508.7,1433.6
40,B,False,397.49,455.21,362.31,346.54,345.28,348.23,301.97,308.9,301.94,311.95,351.93,345.89,335.19,669.05,680.5,704.03,646.36,671.14,662.92,768.53,691.29,764.83,760.01,721.14,731.4,712.39,729.47,744.49,735.04,769.26,736.87,758.76,590.55,590.25,578.61,595.46,598.06,616.25,596.75,612.02,598.63,1170.0,1155.6,579.0,1532.4,929.52,970.63,956.38,1052.4,1051.3,1013.3,1739.3,2527.1,1760.3,1706.8,1683.2,1760.8,1783.4,2137.4,2012.8,1957.2,2046.2,2037.4,1837.4,2012.6,1945.2,1508.7,1433.6,1394.6,1369.9,1378.9,1420.8,1426.4,1337.7,838.81,1302.0,772.01,762.93,709.64,718.46,659.2,868.6,904.72,881.66,1011.8,1031.6,1005.9,999.61,873.28,630.92,857.87,789.19,803.19,866.78,830.13,827.83,620.59,698.55,711.87,774.53,768.59,536.77,776.15,618.94,479.51,515.1,486.24,582.3,648.48,581.96,441.15,373.27,609.71,479.26,448.7,468.61,394.78,263.37,250.28
41,B,False,1578.3,2802.8,1510.0,2671.9,2736.0,2737.8,3098.8,3242.7,3248.1,2918.2,2924.1,2842.0,2947.6,2558.0,2848.9,2893.8,2875.3,2916.6,2918.1,2758.6,2379.6,2425.3,2515.9,2809.6,2726.5,2776.8,2392.6,2578.4,2294.9,1756.4,1834.6,2318.0,2329.6,2604.4,2545.7,2374.8,2309.3,2556.4,2497.7,2530.3,2517.8,2494.7,2437.6,1926.9,2464.9,1853.1,2982.3,2321.0,1829.2,2489.3,1759.8,1944.3,1942.1,2144.1,1991.3,2480.9,1875.8,1868.4,1652.1,2528.8,2144.7,2232.3,2152.6,2381.8,2631.4,2592.3,2114.8,2495.4,2594.8,2136.8,2052.9,1825.1,2328.9,2123.6,1973.3,1998.2,1987.9,2003.8,1975.5,1953.9,2079.6,2065.3,1721.5,2014.2,2392.6,1996.3,1995.7,1972.1,1897.0,1844.5,2210.0,2159.3,2160.4,1766.7,2136.3,1672.6,1752.4,1608.5,1672.6,2016.6,1681.3,1927.1,1550.2,1207.2,1572.2,969.44,1671.7,1614.2,961.11,1308.7,1299.5,1392.2,642.09,621.79,972.5,757.54,615.3,610.27,963.5
42,B,False,0.0,0.0,0.0,0.0,0.0,0.0,876.29,866.82,850.99,866.1,915.88,994.61,1038.3,1038.5,1043.2,1064.0,1066.9,1073.0,1029.9,1047.4,1084.0,1021.0,1072.6,1001.6,1066.4,1074.3,1027.6,1013.3,1043.9,1037.9,1028.8,1001.1,1022.5,1019.1,967.1,961.18,946.47,895.09,899.76,902.3,898.21,912.64,885.53,874.98,833.63,847.25,850.32,842.67,851.96,834.5,835.91,824.26,813.72,729.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.79,452.49,448.95,492.58,522.0,549.69,488.58,526.25,534.73,518.48,511.32,520.38,524.14,532.11,536.94,1249.1,1158.4,1227.3,1174.5,1226.2,1178.6,593.08,565.04,575.42,586.29,587.62,602.5,613.68,1286.2,1278.7,1238.6,1255.5,1254.6,1337.6,1297.1,1225.9,1239.4,1178.1,1187.4,1169.8,1171.1,1192.4,1168.6
44,B,False,1972.1,1897.0,1844.5,2210.0,2159.3,2160.4,1766.7,2136.3,1672.6,1752.4,1608.5,1672.6,2016.6,1681.3,1927.1,1550.2,1207.2,1572.2,969.44,1671.7,1614.2,961.11,1308.7,1299.5,1392.2,642.09,621.79,972.5,757.54,615.3,610.27,963.5,1296.3,1266.3,1278.1,927.64,1250.1,942.35,609.4,927.12,949.63,1287.0,953.53,955.39,948.58,958.27,955.39,1272.9,1283.7,1311.2,1330.1,999.43,971.08,1315.5,1303.9,962.35,970.26,989.02,1343.6,1337.4,1315.4,992.49,997.28,1015.6,970.72,1016.0,1011.6,1324.2,1300.3,1281.5,991.06,1005.8,990.23,987.96,1009.2,1008.2,1019.4,987.83,991.35,992.28,1361.8,1378.3,1376.1,1373.9,1370.6,1289.0,1375.6,1395.5,1376.5,1359.2,991.92,976.1,995.99,990.85,1006.2,995.74,1022.4,1034.5,1012.6,1003.5,1019.2,684.24,702.11,1016.9,996.79,692.52,694.95,679.7,969.67,968.22,936.46,923.18,1075.7,1057.5,925.0,909.05,1231.8,1532.4,1252.0
45,B,False,590.14,599.63,862.3,849.98,825.93,577.87,582.39,578.4,841.37,1594.5,811.72,814.71,758.33,779.06,779.54,785.79,773.12,777.86,705.47,931.0,915.1,923.7,704.07,907.63,697.6,918.64,637.38,669.1,470.48,487.4,441.36,251.9,259.99,246.52,422.51,424.26,397.1,410.99,587.36,620.33,600.65,234.97,231.28,271.1,369.99,380.17,369.15,195.64,201.71,199.53,188.53,185.88,195.23,154.81,200.48,195.88,204.8,196.03,201.06,190.01,194.54,199.6,194.67,196.26,192.84,187.24,196.81,192.42,186.54,213.23,207.08,173.98,184.56,194.36,189.79,185.45,184.2,180.16,184.08,140.94,137.55,135.59,131.24,137.69,138.19,132.35,137.81,137.33,136.19,131.81,133.18,138.01,129.07,123.48,122.09,122.87,120.62,116.18,114.09,113.74,112.56,115.43,110.32,111.63,110.72,109.33,109.64,104.72,99.205,103.51,106.91,106.82,107.93,107.47,101.65,103.94,102.7,107.01,201.6
46,B,False,656.26,637.06,613.57,747.96,749.19,872.0,931.1,901.14,782.73,586.66,567.77,697.59,693.35,618.33,811.28,683.21,981.82,654.46,1097.7,268.84,281.06,291.37,298.38,636.94,587.76,632.64,633.09,540.71,537.69,468.78,467.96,526.4,653.34,1126.4,1165.3,990.96,1200.4,908.24,899.2,1601.0,1525.3,1417.0,1235.1,1686.4,2305.3,1932.6,1703.3,1761.8,1779.6,2031.9,2407.4,2612.0,2336.2,2289.1,2769.0,3258.2,3364.7,3391.6,3635.4,3565.8,3309.8,3382.8,3480.0,3500.4,3592.6,3506.0,3818.7,3425.9,3447.4,2615.1,3078.3,3360.6,3035.8,3092.1,3323.2,3267.2,3242.3,4075.5,4435.6,4381.4,3212.6,4247.0,4992.1,5225.6,4706.2,5334.7,5612.3,4074.6,5571.3,5817.6,5483.8,4967.5,5096.6,5626.1,5707.3,5415.3,5325.4,4698.5,5685.2,5117.1,4846.0,4498.0,5926.7,5684.3,6216.6,5685.4,5527.1,6075.3,4374.6,3292.8,3703.8,3661.3,3509.0,3559.9,4090.6,5113.8,5205.7,4475.0,4533.7
47,B,False,433.29,448.15,492.87,770.27,496.39,295.98,299.15,303.06,283.26,503.87,481.75,478.76,468.05,468.09,462.33,250.94,453.62,455.21,682.02,479.3,483.77,259.52,503.77,525.38,513.23,494.13,255.5,499.04,264.89,268.27,267.27,272.6,265.34,263.8,265.43,256.23,252.19,253.17,226.75,244.3,255.38,260.89,265.36,277.9,279.97,277.33,270.75,271.97,290.0,273.55,258.43,251.86,470.95,492.62,241.92,0.0,260.57,257.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,B,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,N,False,0.0,0.0,0.0,0.0,0.0,50.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,N,False,56.501,51.674,42.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
