,FLARE_TYPE,COINCIDENCE,MEANJZD_1,MEANJZD_2,MEANJZD_3,MEANJZD_4,MEANJZD_5,MEANJZD_6,MEANJZD_7,MEANJZD_8,MEANJZD_9,MEANJZD_10,MEANJZD_11,MEANJZD_12,MEANJZD_13,MEANJZD_14,MEANJZD_15,MEANJZD_16,MEANJZD_17,MEANJZD_18,MEANJZD_19,MEANJZD_20,MEANJZD_21,MEANJZD_22,MEANJZD_23,MEANJZD_24,MEANJZD_25,MEANJZD_26,MEANJZD_27,MEANJZD_28,MEANJZD_29,MEANJZD_30,MEANJZD_31,MEANJZD_32,MEANJZD_33,MEANJZD_34,MEANJZD_35,MEANJZD_36,MEANJZD_37,MEANJZD_38,MEANJZD_39,MEANJZD_40,MEANJZD_41,MEANJZD_42,MEANJZD_43,MEANJZD_44,MEANJZD_45,MEANJZD_46,MEANJZD_47,MEANJZD_48,MEANJZD_49,MEANJZD_50,MEANJZD_51,MEANJZD_52,MEANJZD_53,MEANJZD_54,MEANJZD_55,MEANJZD_56,MEANJZD_57,MEANJZD_58,MEANJZD_59,MEANJZD_60,MEANJZD_61,MEANJZD_62,MEANJZD_63,MEANJZD_64,MEANJZD_65,MEANJZD_66,MEANJZD_67,MEANJZD_68,MEANJZD_69,MEANJZD_70,MEANJZD_71,MEANJZD_72,MEANJZD_73,MEANJZD_74,MEANJZD_75,MEANJZD_76,MEANJZD_77,MEANJZD_78,MEANJZD_79,MEANJZD_80,MEANJZD_81,MEANJZD_82,MEANJZD_83,MEANJZD_84,MEANJZD_85,MEANJZD_86,MEANJZD_87,MEANJZD_88,MEANJZD_89,MEANJZD_90,MEANJZD_91,MEANJZD_92,MEANJZD_93,MEANJZD_94,MEANJZD_95,MEANJZD_96,MEANJZD_97,MEANJZD_98,MEANJZD_99,MEANJZD_100,MEANJZD_101,MEANJZD_102,MEANJZD_103,MEANJZD_104,MEANJZD_105,MEANJZD_106,MEANJZD_107,MEANJZD_108,MEANJZD_109,MEANJZD_110,MEANJZD_111,MEANJZD_112,MEANJZD_113,MEANJZD_114,MEANJZD_115,MEANJZD_116,MEANJZD_117,MEANJZD_118,MEANJZD_119
0,M,True,0.36179,0.37057,0.40517,0.33493,0.2546,0.28286,0.268,0.22357,0.26221,0.2181,0.23232,0.29216,0.30031,0.25272,0.26607,0.24043,0.35335,0.25034,0.21153,0.26204,0.2566,0.23195,0.3154,0.34226,0.24513,0.25158,0.25511,0.2809,0.16978,0.24627,0.20205,0.15632,0.21227,0.12142,0.049288,0.082876,0.024094,0.081429,0.1297,-0.0098891,-0.016592,0.042504,0.019605,0.039227,0.11941,0.053529,0.0788,0.025356,0.037739,0.0407,0.017936,0.03567,0.0069164,-0.041346,-0.053091,-0.085983,-0.12318,-0.14491,-0.11883,-0.11066,-0.21894,-0.1716,-0.15671,-0.21712,-0.21467,-0.14215,-0.074957,-0.044203,-0.10973,-0.051576,-0.136,-0.10903,-0.11945,-0.11244,-0.0019415,-0.17909,-0.12974,-0.12607,-0.12744,-0.055712,-0.096452,-0.12042,-0.16338,-0.1816,-0.2495,-0.11228,-0.2595,-0.21558,-0.19121,-0.23782,-0.18602,-0.12189,-0.23898,-0.10524,-0.21349,-0.13157,-0.14845,-0.22528,-0.19904,-0.20937,-0.12327,-0.14354,-0.16876,-0.15652,-0.16139,-0.25458,-0.18453,-0.20387,-0.20884,-0.2231,-0.16383,-0.11237,-0.24827,-0.15991,-0.0075057,-0.089572,-0.020859,-0.064394,-0.0053176
1,M,True,0.017936,0.03567,0.0069164,-0.041346,-0.053091,-0.085983,-0.12318,-0.14491,-0.11883,-0.11066,-0.21894,-0.1716,-0.15671,-0.21712,-0.21467,-0.14215,-0.074957,-0.044203,-0.10973,-0.051576,-0.136,-0.10903,-0.11945,-0.11244,-0.0019415,-0.17909,-0.12974,-0.12607,-0.12744,-0.055712,-0.096452,-0.12042,-0.16338,-0.1816,-0.2495,-0.11228,-0.2595,-0.21558,-0.19121,-0.23782,-0.18602,-0.12189,-0.23898,-0.10524,-0.21349,-0.13157,-0.14845,-0.22528,-0.19904,-0.20937,-0.12327,-0.14354,-0.16876,-0.15652,-0.16139,-0.25458,-0.18453,-0.20387,-0.20884,-0.2231,-0.16383,-0.11237,-0.24827,-0.15991,-0.0075057,-0.089572,-0.020859,-0.064394,-0.0053176,-0.069542,-0.048841,-0.13223,-0.066047,-0.12478,-0.070653,-0.05114,0.03966,0.02706,-0.004498,0.052624,-0.021263,0.017158,-0.063411,-0.0089189,-0.037958,-0.0044809,-0.048499,-0.022033,-0.021692,0.033991,0.022041,0.019126,0.00043226,-0.030246,-0.083793,-0.050973,-0.078642,0.007975,0.017962,0.02031,0.019227,0.015178,-0.0040401,-0.039852,-0.053434,-0.053526,-0.06475,-0.047431,-0.051915,-0.059094,-0.070619,-0.05318,-0.041372,-0.016003,0.027886,0.0060282,0.028709,0.0076553,0.025925
2,B,False,0.072659,0.023249,0.10719,0.27207,0.15822,0.25016,0.35142,0.2319,0.24264,0.32628,0.37674,0.25182,0.15891,0.21131,0.27027,0.26353,0.27031,0.26723,0.33812,0.37017,0.33768,0.29791,0.27867,0.28588,0.26332,0.24013,0.13339,0.19155,0.28033,0.30263,0.28966,0.26989,0.10637,0.14949,0.2032,0.19137,0.028437,0.12033,0.10803,0.030461,0.0095674,0.12333,0.16242,0.19974,0.071934,0.21279,0.085265,0.079772,0.095094,0.1834,0.13748,0.1738,0.18726,0.053579,0.20296,0.16414,0.12978,0.076001,0.099471,0.094272,-0.0086161,-0.010413,0.10109,0.047866,-0.012157,0.11909,0.13615,0.093728,0.14892,0.081413,0.28036,0.21362,0.075546,0.16788,0.075375,0.18095,0.08661,-0.046436,-0.0058762,0.0078843,-0.0078103,0.13394,0.021845,0.0091084,0.06292,0.14874,0.24807,0.12962,0.15811,0.15578,0.23247,0.1563,0.096848,0.15627,0.10958,0.21407,0.17941,0.19188,0.10891,0.1854,0.096993,0.060992,0.14885,0.15544,0.17259,0.034839,0.086166,-0.0080688,0.034782,0.088876,0.055912,0.053855,-0.017117,0.018284,0.10939,-0.058447,0.092939,0.045011,0.19574
3,B,True,0.16481,0.25852,0.13474,0.14818,0.21381,0.13856,0.22022,0.20775,0.23629,0.38038,0.38104,0.2459,0.28652,0.19038,0.18758,0.30802,0.25074,0.20425,0.3039,0.2644,-0.0056241,0.080276,0.236,0.17391,0.21751,0.15814,0.083596,0.04275,0.26314,0.12891,0.19267,0.022391,0.14614,0.040108,0.063262,-0.0078747,0.050901,-0.001193,0.041123,0.0011332,-0.029746,0.020023,0.060486,0.010703,-0.1074,0.10565,0.15414,0.13985,0.11665,0.15479,0.088947,0.19256,0.28528,0.19496,0.28342,0.27414,0.29336,0.30141,0.40572,0.27721,0.20939,0.2125,0.21514,-0.018413,0.023617,-0.042755,0.1948,0.12251,0.078111,0.12084,0.073355,-0.018051,0.081753,0.077175,-0.025624,0.084573,-0.014585,0.078364,0.056748,0.092663,0.20448,0.0085402,-0.020565,-0.0075668,-0.12281,-0.046037,-0.14317,-0.099548,-0.12839,-0.22791,-0.22791,-0.091481,-0.080853,-0.033407,0.017785,-0.013231,-0.013909,-0.054447,-0.018978,0.10858,-0.0086182,0.060984,0.060328,0.12815,0.19458,0.044515,0.057666,-0.0059855,0.043393,0.1401,0.12184,-0.001771,-0.0015592,-0.15456,0.023124,-0.15645,-0.020955,-0.079669,-0.12052
4,B,True,1.4567,1.5061,0.34304,1.2333,0.41747,0.70895,0.68725,0.29851,-0.15769,0.50577,-0.052969,0.37329,-0.33658,-0.82102,-0.56469,-0.58042,-0.73267,-0.32564,0.15027,0.43236,0.16497,0.24094,0.34813,0.32975,0.54005,0.6422,0.35397,0.0092361,0.28986,0.46562,0.50326,0.53323,0.61636,0.34425,0.56436,0.72986,0.51226,0.63375,0.42044,0.21634,0.44371,0.51611,0.63998,0.61897,0.60878,-0.081519,0.44307,0.24526,0.39982,0.38111,0.41552,0.25845,0.37703,0.28934,0.64326,0.65152,0.5433,0.55683,0.51799,0.36423,0.504,0.18071,0.48174,0.13487,0.26951,0.13226,0.30959,0.38078,0.24341,0.24663,0.026582,0.20957,0.69225,0.63865,0.53819,0.5082,0.2002,0.581,0.70551,0.52919,0.60801,0.5857,0.48214,0.31492,0.22753,0.19491,0.18355,0.26137,0.30073,0.38821,0.24692,0.28509,0.32155,0.21458,0.59833,0.41148,0.26738,0.33984,0.11592,0.12207,-0.021812,0.19811,0.010518,0.0081747,-0.027444,-0.27641,-0.098759,-0.091815,0.032565,-0.25859,-0.23195,-0.15484,-0.22698,-0.22586,-0.15485,0.058964,0.0022805,-0.44318,-0.091142
5,B,True,0.053006,0.076323,0.05443,-0.041956,-0.16324,-0.18808,-0.36691,-0.37379,-0.45739,-0.42695,-0.50306,-0.37841,-0.47582,-0.34092,-0.34982,-0.36256,-0.4134,-0.39001,-0.33156,-0.33623,-0.27791,-0.28197,-0.31299,-0.27138,-0.24369,-0.21361,-0.22729,-0.29676,-0.22925,-0.21934,-0.20962,-0.25859,-0.21317,-0.32029,-0.28056,-0.32376,-0.3261,-0.25224,-0.31307,-0.2988,-0.19479,-0.2016,-0.25832,-0.13654,-0.132,-0.15647,-0.23482,-0.092365,-0.035615,0.11303,0.10443,0.088793,0.1509,0.093843,0.058499,0.18673,0.098927,0.071929,0.15033,-0.025117,-0.054622,0.013534,-0.21655,-0.088547,0.057594,-0.037147,0.080143,-0.037529,0.03941,0.042486,0.065385,0.055717,0.046898,0.13964,0.011621,-0.052984,0.089339,0.054499,-0.034647,-0.073285,-0.0057264,0.048171,0.047809,0.10559,0.047118,0.075321,0.075888,0.073967,0.15803,0.10184,0.103,0.010731,0.067226,0.050512,0.063876,-0.044699,0.068177,-0.011018,0.13814,0.053843,0.00073453,0.1126,0.035351,-0.065988,-0.098576,-0.048488,0.081937,-0.09312,-0.0025828,-0.13124,-0.11219,-0.15737,-0.047664,-0.047356,-0.043535,-0.084362,-0.093019,-0.080944,-0.14649
6,B,False,0.31977,0.28383,-0.084964,-0.16532,-0.096161,0.084021,-0.018054,0.13672,0.17183,0.25358,0.11431,0.36467,0.31878,0.27665,0.14153,0.16772,0.32602,0.27072,0.32722,0.45461,0.4917,0.53182,0.47864,0.63871,0.61694,0.68002,0.7237,0.65475,0.64259,0.60031,0.61039,0.765,0.65234,0.70229,0.5961,0.81669,0.52672,0.43814,0.65389,0.5802,0.50607,0.5079,0.53399,0.53896,0.74555,0.59774,0.63567,0.72132,0.70947,0.69728,0.59305,0.68405,0.64309,0.57284,0.55238,0.50437,0.23061,0.15988,-0.11898,-0.014457,0.048654,0.08815,0.19599,0.23812,0.11754,0.56623,0.67037,0.66353,0.82455,0.90946,0.8596,0.86836,0.77977,0.85793,0.71139,0.71003,0.9575,0.72112,0.79403,0.6777,0.69067,0.55269,0.63939,0.72649,0.55274,0.4056,0.24374,0.28743,0.23871,0.27194,0.38431,0.25851,0.23679,0.3385,0.31395,0.41852,0.49302,0.19926,0.27252,0.20313,0.1084,0.56908,0.55181,0.7606,0.72252,0.81913,0.61773,0.73285,0.84576,0.87507,0.87707,0.74458,0.91306,1.0852,0.95305,1.081,1.02,1.0707,1.3252
7,B,False,-0.11217,-0.19573,-0.3597,-0.41452,-0.18493,-0.26189,-0.31412,-0.24565,-0.26841,-0.32114,-0.29627,-0.33992,-0.21452,-0.24409,-0.24563,-0.24593,-0.33839,-0.27266,-0.35985,-0.3723,-0.30778,-0.18781,-0.22514,-0.28295,-0.27555,-0.12026,-0.032058,-0.055531,-0.3307,-0.22995,-0.23247,-0.20817,-0.31174,-0.34305,-0.095589,-0.17109,-0.25861,-0.22865,-0.34041,-0.18989,-0.31827,-0.13835,-0.11033,-0.20336,-0.28181,-0.23782,-0.39331,-0.32514,-0.15725,-0.18313,-0.33649,-0.30862,-0.35893,-0.51348,-0.44107,-0.42396,-0.35647,-0.39397,-0.28075,-0.37501,-0.4364,-0.42133,-0.23433,-0.34008,-0.26819,-0.37966,-0.32709,-0.25245,-0.25805,-0.19344,-0.16734,-0.20186,-0.21057,-0.13965,-0.18087,-0.16537,-0.24338,-0.33709,-0.25216,-0.24007,-0.31224,-0.12049,-0.18759,-0.1611,-0.041946,-0.12506,-0.12437,-0.21088,-0.18221,-0.20379,-0.20803,-0.01682,-0.16699,-0.094713,-0.044159,-0.18849,-0.30216,-0.18557,-0.13153,0.0035013,-0.02338,-0.10737,-0.14965,-0.20021,-0.12766,-0.15241,-0.21331,-0.15646,-0.2208,-0.24367,-0.16745,-0.087865,-0.065992,-0.071472,-0.16419,-0.0093885,-0.07561,-0.051246,-0.022737
8,B,False,0.030127,0.027778,0.013006,-0.043346,0.010427,-0.0024248,0.047549,-0.051468,-0.045113,-0.001015,-0.20208,-0.14582,-0.31166,-0.12337,-0.077409,-0.16424,0.06205,-0.018138,0.037707,0.14311,-0.11129,0.071668,0.050028,-0.017522,-0.014735,0.0019501,0.082664,0.19431,0.072385,0.062034,0.073986,0.076365,0.17765,0.13312,0.17659,0.16744,0.098173,0.097016,0.089012,0.23698,0.17485,0.078049,-0.055483,-0.093356,0.041515,0.010825,0.17433,0.088281,0.1612,-0.047955,0.032043,0.075965,0.035366,-0.14539,-0.12748,0.01864,-0.11087,0.12015,0.10789,-0.058336,0.062681,0.090461,-0.065795,0.07491,-0.0090618,0.11505,0.0047694,0.11812,0.054206,0.017134,-0.055853,-0.13292,-0.072769,-0.067912,-0.082549,-0.085953,-0.19104,-0.040726,0.12365,0.093499,-0.10943,0.013814,-0.14972,-0.086101,-0.011948,-0.04118,0.023718,-0.078456,-0.049174,-0.084994,-0.17998,0.039001,-0.080914,-0.024137,-0.16617,-0.028254,0.16042,-0.011662,-0.097181,0.044598,0.006389,0.15671,-0.010754,0.08929,0.077318,-0.038022,0.048653,0.071813,0.087606,0.12129,0.10063,0.083373,0.2138,0.11378,0.0521,-0.0031154,0.10954,0.11513,0.20975
9,B,False,-0.077883,-0.082241,-0.054723,0.087315,-0.016156,0.028615,0.062693,-0.006047,-0.1259,-0.15434,-0.022002,-0.17995,-0.054845,-0.058368,0.046804,0.081744,0.019216,0.064173,0.023275,0.048974,0.0089565,-0.014605,0.083769,0.12609,0.072316,0.024818,0.047848,0.030915,-0.042919,-0.011405,-0.029447,-0.16852,-0.0085208,-0.01531,0.042846,-0.0083464,-0.11067,-0.097933,-0.15389,-0.13857,-0.15774,-0.13025,-0.22202,-0.19917,-0.27609,-0.14039,-0.20338,-0.21491,-0.27257,-0.17618,-0.27154,-0.26729,-0.16475,-0.12287,-0.18622,-0.17575,-0.15062,-0.089534,-0.12645,-0.080797,-0.087321,-0.10655,-0.12853,-0.14327,-0.087118,-0.099387,-0.13549,-0.032525,-0.17499,-0.081917,-0.13006,-0.20245,-0.27042,-0.17138,-0.24513,-0.25403,-0.20365,-0.1868,-0.12007,-0.11824,-0.14359,-0.13159,-0.098926,-0.14479,-0.15058,-0.11778,-0.096037,-0.027339,-0.040676,0.0641,0.081007,0.14265,0.077251,0.10106,0.19287,0.1657,0.22238,0.20988,0.18386,0.27337,0.23995,0.14477,0.21118,0.17078,0.22305,0.167,0.13688,0.19265,0.22809,0.23497,0.25792,0.19449,0.23008,0.074334,0.24174,0.13796,0.25328,0.23957,0.21296
10,B,True,0.041924,0.0064612,-0.013498,-0.076092,-0.04445,0.0059716,-0.07333,-0.02748,-0.076776,-0.12351,-0.11034,-0.19419,-0.18513,-0.13003,-0.19797,-0.25702,-0.26336,-0.23738,-0.21996,-0.2136,-0.2035,-0.18357,-0.11667,-0.10146,-0.22332,-0.13385,-0.13351,-0.09543,-0.12712,-0.17632,-0.14476,-0.072846,-0.056575,-0.15986,-0.16045,-0.16333,-0.15973,-0.16781,-0.097798,-0.15051,-0.12426,-0.1576,-0.1381,-0.12631,-0.12245,-0.12373,-0.13278,-0.03598,0.016449,-0.064185,0.00099544,0.075421,0.068008,0.02179,0.10877,0.01407,0.097362,0.071675,0.17684,0.11371,0.1964,0.189,0.1155,0.035736,0.13789,0.11027,0.020682,0.02916,0.14256,0.11538,0.13212,0.048011,0.14985,0.086762,0.13671,0.1746,0.085572,0.10862,0.12303,0.18345,0.20588,0.18924,0.17422,0.1623,0.21016,0.14257,0.17509,0.19843,0.20563,0.21249,0.12639,0.16444,0.20546,0.16758,0.20549,0.18754,0.15049,0.15724,0.0488,-0.048394,0.045322,-0.025685,0.0061625,0.083999,0.05018,0.12067,0.11372,0.09577,0.22126,0.1875,0.25634,0.32178,0.32181,0.37886,0.2531,0.31068,0.35848,0.32507,0.22682
11,B,True,0.069422,-0.013029,-0.0013489,0.015227,0.072975,0.027658,0.053867,0.020269,0.091334,0.11901,0.094264,0.12922,0.12736,0.14163,0.12544,0.13757,0.10959,0.11327,0.099099,0.10122,0.10741,0.11937,0.13248,0.11337,0.032688,0.014309,0.089859,0.044753,-0.0064493,0.036947,0.025272,0.063688,0.015123,0.017601,0.088933,0.056537,0.018679,0.025076,0.094825,0.083935,0.033028,0.071066,0.094739,0.087533,0.079593,0.01377,0.025852,0.04892,0.077337,0.08549,0.05011,0.012076,0.010083,-0.0032495,-0.018004,0.029654,0.16053,0.091704,0.089558,0.078646,0.078021,0.08512,0.14645,0.064586,0.12073,0.15067,0.13476,0.15559,0.17146,0.1505,0.1629,0.17439,0.11764,0.0569,0.037963,0.074878,0.035539,0.099843,0.10822,0.19871,0.15324,0.21015,0.13636,0.18279,0.19024,0.14294,0.18858,0.17165,0.15045,0.17595,0.21279,0.19937,0.22344,0.19637,0.16812,0.18603,0.22071,0.21768,0.21657,0.20422,0.16292,0.18883,0.21264,0.16995,0.18189,0.18768,0.20743,0.19423,0.17305,0.20552,0.19145,0.18386,0.17164,0.16155,0.17261,0.16038,0.2073,0.14955,0.18634
12,B,True,-0.032508,-0.047261,0.016688,-0.081279,-0.066935,-0.083612,-0.12345,-0.23353,-0.1519,-0.12349,-0.14342,-0.14655,-0.12828,-0.13543,-0.13278,-0.1978,-0.27022,-0.24007,-0.27184,-0.32298,-0.35179,-0.17156,-0.2742,-0.23503,-0.1939,-0.25459,-0.22542,-0.16218,-0.18453,-0.14983,-0.10257,0.051868,-0.036187,-0.085379,-0.054917,-0.086458,0.031337,-0.0054763,-0.029315,-0.061417,-0.044638,0.0055402,-0.015047,-0.001736,0.028562,-0.029208,-0.028234,-0.1136,-0.011566,-0.01054,0.0025199,0.063081,-0.16565,-0.032042,-0.081932,-0.089018,-0.1819,-0.12334,-0.013932,0.036353,-0.00069014,0.025047,-0.045376,0.0092742,0.081025,0.06828,0.027876,0.078966,0.041834,0.063371,0.076337,0.042107,0.02957,-0.041633,-0.022444,0.068441,0.043507,0.043645,0.045329,0.02213,0.043716,0.070002,0.10859,0.075843,-0.0098335,0.058807,0.0055988,0.049964,0.057094,0.077955,0.11768,0.13347,0.043397,0.16358,0.075318,0.10986,0.0019674,0.039472,-0.09746,-0.069374,-0.11381,-0.15193,-0.1536,-0.053383,-0.04925,-0.14979,-0.17573,-0.30944,-0.24069,-0.10652,-0.16932,-0.12621,-0.087834,-0.15378,-0.084952,-0.06716,-0.036129,0.029428,-0.023154
13,B,True,-0.16586,0.14749,0.03407,0.11189,0.23972,0.25256,-0.013436,0.10999,0.045103,0.17538,0.16721,0.09029,0.03311,-0.16224,-0.15315,-0.038437,-0.065344,0.01754,0.11655,0.041329,0.15068,0.15416,0.19086,-0.048517,0.3522,0.31605,0.37763,0.40978,0.29037,0.3635,0.37122,0.40849,0.4078,0.35662,0.31851,0.33339,0.48756,0.46043,0.29632,0.37091,0.36729,0.27306,0.34837,0.23831,0.119,0.056177,0.017481,0.018635,-0.057603,0.14516,-0.0020455,0.052487,-0.13126,-0.23871,0.036031,-0.174,-0.22334,-0.15943,0.016375,0.13923,0.014376,0.01436,0.087527,0.11922,0.29615,0.26431,0.079136,0.096746,0.077085,0.096477,0.10803,-0.012654,-0.21778,-0.10251,-0.31557,-0.24417,-0.32173,-0.44173,-0.27392,-0.65923,-0.43234,-0.2898,-0.39094,-0.4571,-0.24638,-0.052675,-0.28507,-0.14357,-0.3835,-0.23469,-0.3009,-0.13253,-0.20323,-0.48347,-0.38948,-0.26326,-0.35921,-0.23667,-0.36267,-0.44886,-0.28157,-0.26083,-0.44403,-0.25568,-0.38474,-0.19263,-0.38697,-0.42361,-0.40876,-0.10128,-0.14762,-0.15822,-0.21266,-0.19668,-0.063117,-0.051646,0.11008,0.18834,0.14003
14,B,True,0.52323,0.15597,0.19228,0.33158,0.42624,0.13751,0.24356,0.15238,-0.019476,-0.17343,-0.30436,-0.29543,-0.04708,-0.096654,-0.08745,0.10506,0.2308,0.32339,0.46139,0.5223,0.56703,0.40552,0.44172,0.5849,0.60648,0.63031,0.56329,0.52183,0.70185,0.58667,0.41712,0.57263,0.46607,0.42025,0.47295,0.56469,0.24505,0.43867,0.35821,0.49064,0.39926,0.36505,0.40023,0.50236,0.29857,0.48121,0.32619,0.2673,0.27802,0.50752,0.66503,0.64791,0.47836,0.37772,0.63746,0.30557,0.42538,0.56553,0.44327,0.51632,0.28891,0.21898,0.097447,0.39859,0.16852,0.53305,0.33791,0.50757,0.86591,0.40549,0.56647,0.75039,0.38154,0.45579,0.39552,0.44688,0.46831,0.24994,0.29461,0.21176,0.12493,-0.25005,-0.21694,-0.15575,-0.014659,-0.261,-0.12099,-0.39721,-0.18811,-0.14641,0.051646,0.022217,-0.068043,-0.099245,-0.14678,-0.023384,-0.22929,-0.16617,-0.14311,0.19478,-0.0069284,-0.072296,0.052554,-0.07914,-0.11548,-0.11326,-0.089602,-0.25102,-0.17718,-0.11423,-0.16865,-0.30275,-0.045028,0.021714,0.18784,0.015125,0.20843,0.11708,0.37314
15,B,True,-0.17357,-0.16721,-0.15014,-0.11856,-0.14306,-0.26491,-0.17998,-0.22816,-0.20202,-0.23739,-0.17785,-0.22402,-0.18285,-0.14477,-0.19145,-0.24754,-0.24494,-0.12332,-0.19141,-0.24975,-0.16625,-0.21761,-0.22565,-0.20078,-0.053556,-0.11511,-0.1657,-0.14875,-0.04873,0.0029711,-0.083909,-0.067729,-0.084487,-0.2007,-0.12685,-0.11706,-0.095626,-0.057608,-0.028878,-0.077575,-0.16676,-0.24638,-0.36806,-0.31987,-0.30718,-0.19329,-0.28335,-0.22115,-0.20068,-0.12688,-0.15754,-0.10174,-0.073129,-0.10929,0.036509,-0.010804,-0.043236,0.003949,0.0013991,0.030761,-0.011735,-0.02057,-0.039677,-0.15938,-0.085334,-0.010641,-0.030591,-0.05289,-0.061982,-0.054861,-0.033612,-0.044644,-0.0035974,-0.0088796,-0.021992,-0.076482,-0.087864,-0.033861,-0.10939,-0.022973,-0.1105,-0.035895,-0.12633,-0.13276,-0.048968,-0.088058,-0.0053794,-0.059851,-0.064146,-0.010464,-0.015541,-0.021694,-0.083377,-0.03896,-0.072036,-0.14643,-0.15593,-0.22271,-0.11218,-0.24014,-0.10974,-0.3174,-0.27059,-0.16425,-0.074578,-0.072371,-0.10816,-0.069846,0.043744,-0.0072605,-0.0070227,0.022107,-0.076603,0.033872,0.042437,0.045994,0.097582,-0.051118,-0.10601
