,FLARE_TYPE,COINCIDENCE,TOTPOT_1,TOTPOT_2,TOTPOT_3,TOTPOT_4,TOTPOT_5,TOTPOT_6,TOTPOT_7,TOTPOT_8,TOTPOT_9,TOTPOT_10,TOTPOT_11,TOTPOT_12,TOTPOT_13,TOTPOT_14,TOTPOT_15,TOTPOT_16,TOTPOT_17,TOTPOT_18,TOTPOT_19,TOTPOT_20,TOTPOT_21,TOTPOT_22,TOTPOT_23,TOTPOT_24,TOTPOT_25,TOTPOT_26,TOTPOT_27,TOTPOT_28,TOTPOT_29,TOTPOT_30,TOTPOT_31,TOTPOT_32,TOTPOT_33,TOTPOT_34,TOTPOT_35,TOTPOT_36,TOTPOT_37,TOTPOT_38,TOTPOT_39,TOTPOT_40,TOTPOT_41,TOTPOT_42,TOTPOT_43,TOTPOT_44,TOTPOT_45,TOTPOT_46,TOTPOT_47,TOTPOT_48,TOTPOT_49,TOTPOT_50,TOTPOT_51,TOTPOT_52,TOTPOT_53,TOTPOT_54,TOTPOT_55,TOTPOT_56,TOTPOT_57,TOTPOT_58,TOTPOT_59,TOTPOT_60,TOTPOT_61,TOTPOT_62,TOTPOT_63,TOTPOT_64,TOTPOT_65,TOTPOT_66,TOTPOT_67,TOTPOT_68,TOTPOT_69,TOTPOT_70,TOTPOT_71,TOTPOT_72,TOTPOT_73,TOTPOT_74,TOTPOT_75,TOTPOT_76,TOTPOT_77,TOTPOT_78,TOTPOT_79,TOTPOT_80,TOTPOT_81,TOTPOT_82,TOTPOT_83,TOTPOT_84,TOTPOT_85,TOTPOT_86,TOTPOT_87,TOTPOT_88,TOTPOT_89,TOTPOT_90,TOTPOT_91,TOTPOT_92,TOTPOT_93,TOTPOT_94,TOTPOT_95,TOTPOT_96,TOTPOT_97,TOTPOT_98,TOTPOT_99,TOTPOT_100,TOTPOT_101,TOTPOT_102,TOTPOT_103,TOTPOT_104,TOTPOT_105,TOTPOT_106,TOTPOT_107,TOTPOT_108,TOTPOT_109,TOTPOT_110,TOTPOT_111,TOTPOT_112,TOTPOT_113,TOTPOT_114,TOTPOT_115,TOTPOT_116,TOTPOT_117,TOTPOT_118,TOTPOT_119
0,M,True,2.5771e+23,2.6306e+23,2.634e+23,2.5525e+23,2.5518e+23,2.6058e+23,2.6529e+23,2.6338e+23,2.6101e+23,2.5578e+23,2.5671e+23,2.5804e+23,2.6035e+23,2.5894e+23,2.4803e+23,2.6295e+23,2.4705e+23,2.4667e+23,2.4933e+23,2.4938e+23,2.4918e+23,2.5044e+23,2.491e+23,2.4762e+23,2.5249e+23,2.4838e+23,2.5176e+23,2.554e+23,2.5041e+23,2.5622e+23,2.4923e+23,2.5671e+23,2.5654e+23,2.582e+23,2.5756e+23,2.4691e+23,2.4819e+23,2.5066e+23,2.4909e+23,2.4995e+23,2.5778e+23,2.5896e+23,2.6114e+23,2.6381e+23,2.6225e+23,2.6674e+23,2.6093e+23,2.6447e+23,2.6619e+23,2.6529e+23,2.6801e+23,2.6696e+23,2.668e+23,2.6931e+23,2.6806e+23,2.6957e+23,2.6781e+23,2.6325e+23,2.6504e+23,2.6484e+23,2.6129e+23,2.6116e+23,2.625e+23,2.635e+23,2.6553e+23,2.6674e+23,2.6542e+23,2.6537e+23,2.6309e+23,2.6408e+23,2.645e+23,2.67e+23,2.6787e+23,2.6921e+23,2.6885e+23,2.7015e+23,2.7091e+23,2.6727e+23,2.6724e+23,2.6677e+23,2.7146e+23,2.7047e+23,2.7178e+23,2.7455e+23,2.7265e+23,2.7264e+23,2.7522e+23,2.7825e+23,2.8164e+23,2.8902e+23,2.8676e+23,2.9425e+23,3.0008e+23,3.0351e+23,3.0603e+23,3.0593e+23,3.1261e+23,3.1351e+23,3.1725e+23,3.2776e+23,3.2389e+23,3.4012e+23,3.3843e+23,3.3325e+23,3.3391e+23,3.3834e+23,3.4267e+23,3.3578e+23,3.359e+23,3.3591e+23,3.416e+23,3.4247e+23,3.4584e+23,3.4216e+23,3.401e+23,3.3908e+23,3.4483e+23,3.4569e+23,3.4597e+23
1,M,True,2.6801e+23,2.6696e+23,2.668e+23,2.6931e+23,2.6806e+23,2.6957e+23,2.6781e+23,2.6325e+23,2.6504e+23,2.6484e+23,2.6129e+23,2.6116e+23,2.625e+23,2.635e+23,2.6553e+23,2.6674e+23,2.6542e+23,2.6537e+23,2.6309e+23,2.6408e+23,2.645e+23,2.67e+23,2.6787e+23,2.6921e+23,2.6885e+23,2.7015e+23,2.7091e+23,2.6727e+23,2.6724e+23,2.6677e+23,2.7146e+23,2.7047e+23,2.7178e+23,2.7455e+23,2.7265e+23,2.7264e+23,2.7522e+23,2.7825e+23,2.8164e+23,2.8902e+23,2.8676e+23,2.9425e+23,3.0008e+23,3.0351e+23,3.0603e+23,3.0593e+23,3.1261e+23,3.1351e+23,3.1725e+23,3.2776e+23,3.2389e+23,3.4012e+23,3.3843e+23,3.3325e+23,3.3391e+23,3.3834e+23,3.4267e+23,3.3578e+23,3.359e+23,3.3591e+23,3.416e+23,3.4247e+23,3.4584e+23,3.4216e+23,3.401e+23,3.3908e+23,3.4483e+23,3.4569e+23,3.4597e+23,3.4213e+23,3.4869e+23,3.5806e+23,3.6648e+23,3.7031e+23,3.8298e+23,3.8655e+23,3.8942e+23,3.9473e+23,3.9453e+23,3.9799e+23,3.9271e+23,4.0219e+23,4.075e+23,3.9933e+23,3.864e+23,3.8238e+23,3.9509e+23,3.9989e+23,4.093e+23,4.0696e+23,4.1348e+23,4.0977e+23,4.1517e+23,4.0242e+23,4.0232e+23,4.0251e+23,4.1184e+23,4.1023e+23,4.0851e+23,4.2554e+23,4.3121e+23,4.574e+23,4.3959e+23,4.3983e+23,4.6777e+23,4.7586e+23,4.7524e+23,4.71e+23,4.6663e+23,4.7103e+23,4.9338e+23,5.052e+23,5.0808e+23,5.0911e+23,5.2119e+23,5.2998e+23,5.4081e+23,5.3936e+23,5.5413e+23
2,B,False,1.3314e+23,1.3719e+23,1.3688e+23,1.3671e+23,1.3329e+23,1.3367e+23,1.3471e+23,1.3356e+23,1.3418e+23,1.3523e+23,1.367e+23,1.3677e+23,1.3726e+23,1.3775e+23,1.3789e+23,1.367e+23,1.3633e+23,1.3248e+23,1.3443e+23,1.3564e+23,1.35e+23,1.3355e+23,1.3454e+23,1.3367e+23,1.3495e+23,1.3683e+23,1.3524e+23,1.3455e+23,1.3654e+23,1.371e+23,1.3556e+23,1.3754e+23,1.3725e+23,1.3624e+23,1.3634e+23,1.3692e+23,1.3955e+23,1.4072e+23,1.4095e+23,1.4216e+23,1.43e+23,1.4339e+23,1.405e+23,1.4116e+23,1.3907e+23,1.3865e+23,1.367e+23,1.3956e+23,1.3894e+23,1.3549e+23,1.3565e+23,1.357e+23,1.3653e+23,1.3694e+23,1.3427e+23,1.3373e+23,1.3522e+23,1.3659e+23,1.3558e+23,1.3361e+23,1.3178e+23,1.3092e+23,1.3122e+23,1.3026e+23,1.2815e+23,1.2791e+23,1.2686e+23,1.2763e+23,1.2717e+23,1.2855e+23,1.2947e+23,1.2923e+23,1.2904e+23,1.299e+23,1.2718e+23,1.2542e+23,1.2534e+23,1.2433e+23,1.2379e+23,1.2588e+23,1.2747e+23,1.2552e+23,1.2695e+23,1.2387e+23,1.2315e+23,1.2277e+23,1.2332e+23,1.243e+23,1.2245e+23,1.2226e+23,1.2309e+23,1.2349e+23,1.2174e+23,1.2094e+23,1.1941e+23,1.1872e+23,1.2175e+23,1.2052e+23,1.2056e+23,1.181e+23,1.172e+23,1.1812e+23,1.18e+23,1.1789e+23,1.1785e+23,1.1641e+23,1.177e+23,1.1738e+23,1.1606e+23,1.1416e+23,1.1331e+23,1.1156e+23,1.0915e+23,1.0893e+23,1.0688e+23,1.0616e+23,1.057e+23,1.036e+23,1.0233e+23
3,B,True,9.5919e+22,9.5747e+22,9.5416e+22,9.4567e+22,9.417e+22,9.2448e+22,9.3631e+22,9.366e+22,9.1362e+22,9.2333e+22,9.3665e+22,9.2328e+22,9.2344e+22,9.2724e+22,9.3704e+22,9.3306e+22,9.4559e+22,9.5909e+22,9.4465e+22,9.4221e+22,9.2649e+22,9.1408e+22,9.1811e+22,9.185e+22,9.2501e+22,9.3721e+22,9.5015e+22,9.4299e+22,9.3975e+22,9.377e+22,9.5111e+22,9.6669e+22,9.6469e+22,9.7646e+22,9.7061e+22,9.6879e+22,9.6353e+22,9.8353e+22,9.8735e+22,9.7077e+22,9.6466e+22,9.736e+22,9.6626e+22,9.655e+22,9.5282e+22,9.5631e+22,9.5871e+22,9.4932e+22,9.3972e+22,9.4494e+22,9.5652e+22,9.6353e+22,9.6452e+22,9.6243e+22,9.5796e+22,9.4628e+22,9.3565e+22,9.4207e+22,9.2943e+22,9.2607e+22,9.2854e+22,9.2566e+22,9.2131e+22,9.2802e+22,9.2477e+22,9.2351e+22,9.1448e+22,9.003e+22,9.0615e+22,9.0845e+22,9.3144e+22,9.1113e+22,9.174e+22,9.2711e+22,9.1967e+22,9.2356e+22,9.0918e+22,9.1843e+22,8.9613e+22,9.0353e+22,8.9789e+22,8.8558e+22,8.9107e+22,8.9273e+22,9.0042e+22,8.988e+22,8.792e+22,8.6879e+22,8.5075e+22,8.3321e+22,8.4273e+22,8.4435e+22,8.2915e+22,8.2821e+22,8.2378e+22,8.0727e+22,8.1325e+22,8.0963e+22,8.1233e+22,8.07e+22,8.0731e+22,8.3719e+22,8.2736e+22,8.1577e+22,8.1706e+22,8.1253e+22,8.2003e+22,8.0897e+22,8.0951e+22,7.9627e+22,7.8482e+22,8.052e+22,7.921e+22,7.8829e+22,7.786e+22,7.7464e+22,7.7279e+22,7.5713e+22,7.483e+22
4,B,True,7.2872e+21,7.2213e+21,6.9131e+21,6.1351e+21,6.4037e+21,6.987e+21,6.6639e+21,6.3509e+21,6.6118e+21,6.8525e+21,6.805e+21,6.8392e+21,7.7285e+21,7.7505e+21,7.2707e+21,7.3636e+21,8.1637e+21,7.2179e+21,7.8012e+21,7.3967e+21,7.2966e+21,7.6394e+21,8.132e+21,8.5017e+21,8.0065e+21,7.8632e+21,8.0475e+21,8.1131e+21,8.1282e+21,8.8e+21,9.045e+21,1.0072e+22,9.6872e+21,8.888e+21,9.5376e+21,9.5359e+21,9.6318e+21,9.157e+21,9.1101e+21,8.8339e+21,9.2112e+21,9.373e+21,9.69e+21,1.0054e+22,9.9665e+21,1.0191e+22,1.0162e+22,1.1354e+22,1.1847e+22,1.1654e+22,1.1745e+22,1.2146e+22,1.2776e+22,1.3311e+22,1.5269e+22,1.5025e+22,1.4874e+22,1.4261e+22,1.4784e+22,1.4671e+22,1.4878e+22,1.5847e+22,1.6288e+22,1.6466e+22,1.6981e+22,1.6846e+22,1.6389e+22,1.6325e+22,1.6885e+22,1.6599e+22,1.6745e+22,1.6515e+22,1.5964e+22,1.669e+22,1.716e+22,1.7473e+22,1.7964e+22,1.8125e+22,1.7311e+22,1.69e+22,1.7213e+22,1.8562e+22,1.8341e+22,1.8803e+22,1.8453e+22,1.8986e+22,2.0115e+22,2.0247e+22,2.0791e+22,2.0554e+22,2.1509e+22,2.1024e+22,2.1752e+22,2.2313e+22,2.2583e+22,2.3626e+22,2.4891e+22,2.5667e+22,2.8504e+22,2.9241e+22,2.9677e+22,3.1251e+22,3.247e+22,3.2323e+22,3.1588e+22,3.2431e+22,3.3652e+22,3.3034e+22,3.3802e+22,3.3481e+22,3.637e+22,3.5881e+22,3.4301e+22,3.5513e+22,3.4517e+22,3.6275e+22,3.7662e+22,3.6697e+22,3.6889e+22
5,B,True,1.8696e+22,1.8554e+22,1.8802e+22,1.8613e+22,1.8486e+22,1.8398e+22,1.8029e+22,1.7733e+22,1.8153e+22,1.7283e+22,1.7597e+22,1.7887e+22,1.7787e+22,1.7754e+22,1.815e+22,1.8342e+22,1.7896e+22,1.8128e+22,1.8217e+22,1.8282e+22,1.8079e+22,1.7866e+22,1.7816e+22,1.7591e+22,1.7745e+22,1.7329e+22,1.7475e+22,1.7697e+22,1.7977e+22,1.7743e+22,1.7739e+22,1.8079e+22,1.8338e+22,1.8142e+22,1.8254e+22,1.8869e+22,1.9487e+22,2.0599e+22,2.0391e+22,2.0206e+22,2.1894e+22,2.1735e+22,2.1912e+22,2.2774e+22,2.3573e+22,2.277e+22,2.3824e+22,2.4957e+22,2.6788e+22,2.8983e+22,2.927e+22,3.0436e+22,3.0189e+22,3.0013e+22,2.9843e+22,3.1658e+22,3.0344e+22,3.0962e+22,3.2123e+22,3.3642e+22,3.3249e+22,3.4522e+22,3.4043e+22,3.4024e+22,3.6043e+22,3.6744e+22,3.7098e+22,3.7874e+22,3.9485e+22,4.0273e+22,4.1797e+22,4.3398e+22,4.3065e+22,4.3424e+22,4.2744e+22,4.3097e+22,4.3257e+22,4.4095e+22,4.5782e+22,4.6288e+22,4.7886e+22,4.7619e+22,4.8131e+22,5.0194e+22,5.1293e+22,5.2786e+22,5.5378e+22,5.6934e+22,6.1002e+22,6.0093e+22,6.3124e+22,6.5433e+22,6.8581e+22,6.8055e+22,6.8915e+22,7.1879e+22,7.4713e+22,7.5897e+22,7.8433e+22,7.8436e+22,8.006e+22,8.3275e+22,8.4592e+22,8.4424e+22,8.5582e+22,8.6413e+22,8.7649e+22,8.836e+22,8.8352e+22,8.8745e+22,8.6803e+22,8.7353e+22,8.7532e+22,8.7324e+22,8.9115e+22,8.8961e+22,9.0271e+22,9.139e+22,9.1367e+22
6,B,False,2.7828e+22,2.7983e+22,2.7106e+22,2.7411e+22,2.649e+22,2.6601e+22,2.6332e+22,2.6547e+22,2.6809e+22,2.6561e+22,2.6204e+22,2.5838e+22,2.5462e+22,2.5014e+22,2.4556e+22,2.4041e+22,2.3839e+22,2.3385e+22,2.3744e+22,2.3567e+22,2.3605e+22,2.3616e+22,2.3362e+22,2.2752e+22,2.2387e+22,2.2958e+22,2.2438e+22,2.2054e+22,2.1968e+22,2.1521e+22,2.1546e+22,2.0397e+22,2.0868e+22,2.1077e+22,2.0418e+22,2.0201e+22,2.0334e+22,1.9776e+22,1.9394e+22,1.9375e+22,1.9502e+22,1.9503e+22,1.8958e+22,1.8768e+22,1.8773e+22,1.8352e+22,1.8382e+22,1.7601e+22,1.7436e+22,1.7507e+22,1.7625e+22,1.7702e+22,1.7343e+22,1.7644e+22,1.7294e+22,1.7287e+22,1.7686e+22,1.7691e+22,1.7646e+22,1.7527e+22,1.7031e+22,1.6881e+22,1.6981e+22,1.7226e+22,1.7277e+22,1.6913e+22,1.7003e+22,1.6365e+22,1.6842e+22,1.5831e+22,1.6229e+22,1.5372e+22,1.5718e+22,1.538e+22,1.5036e+22,1.505e+22,1.4354e+22,1.4378e+22,1.4473e+22,1.4465e+22,1.4565e+22,1.4721e+22,1.5043e+22,1.4765e+22,1.4948e+22,1.4697e+22,1.4333e+22,1.4315e+22,1.4859e+22,1.4722e+22,1.4893e+22,1.4692e+22,1.4585e+22,1.4876e+22,1.4289e+22,1.443e+22,1.4147e+22,1.3776e+22,1.4265e+22,1.3947e+22,1.3752e+22,1.3701e+22,1.3329e+22,1.3814e+22,1.3787e+22,1.3654e+22,1.2968e+22,1.3356e+22,1.2809e+22,1.2238e+22,1.2276e+22,1.2008e+22,1.2271e+22,1.1816e+22,1.1872e+22,1.1928e+22,1.173e+22,1.1738e+22,1.2327e+22
7,B,False,2.0095e+23,2.0245e+23,2.0452e+23,2.054e+23,2.0735e+23,2.0908e+23,2.0816e+23,2.0861e+23,2.0797e+23,2.0797e+23,2.0809e+23,2.0825e+23,2.0869e+23,2.0778e+23,2.0834e+23,2.0739e+23,2.0397e+23,2.0386e+23,2.0321e+23,2.0243e+23,2.0303e+23,2.0412e+23,2.0428e+23,2.0326e+23,2.0324e+23,2.0586e+23,2.0409e+23,2.0417e+23,2.0353e+23,2.0406e+23,2.0469e+23,2.0462e+23,2.0409e+23,2.0366e+23,2.0528e+23,2.0681e+23,2.0673e+23,2.0641e+23,2.0745e+23,2.0697e+23,2.0842e+23,2.0785e+23,2.0761e+23,2.0794e+23,2.0788e+23,2.06e+23,2.0505e+23,2.0709e+23,2.0619e+23,2.0823e+23,2.0578e+23,2.0718e+23,2.0683e+23,2.0569e+23,2.0581e+23,2.076e+23,2.0785e+23,2.0856e+23,2.0873e+23,2.1018e+23,2.1013e+23,2.0983e+23,2.0904e+23,2.072e+23,2.0742e+23,2.0809e+23,2.0598e+23,2.0322e+23,2.0364e+23,2.0429e+23,2.025e+23,2.0211e+23,2.02e+23,2.0191e+23,2.0173e+23,1.9895e+23,2.0042e+23,1.9913e+23,1.9904e+23,1.9961e+23,1.9971e+23,1.9804e+23,1.9755e+23,1.9713e+23,1.9683e+23,1.9769e+23,1.9653e+23,1.9709e+23,1.9805e+23,1.9971e+23,1.9843e+23,1.9793e+23,1.9761e+23,1.9843e+23,1.9949e+23,1.9864e+23,1.9926e+23,1.9905e+23,1.9741e+23,1.9592e+23,1.9723e+23,1.9658e+23,1.9649e+23,1.9495e+23,1.9423e+23,1.9547e+23,1.9648e+23,1.98e+23,1.9705e+23,1.9677e+23,1.9765e+23,1.9821e+23,1.9716e+23,1.9644e+23,1.9788e+23,1.9951e+23,1.9825e+23,1.9895e+23,1.9908e+23
8,B,False,6.6594e+22,6.6856e+22,6.8524e+22,6.9825e+22,6.8056e+22,6.7305e+22,6.7372e+22,6.8306e+22,6.9051e+22,7.0583e+22,7.0053e+22,7.0926e+22,7.0157e+22,7.0268e+22,7.1198e+22,6.8979e+22,6.7712e+22,7.0593e+22,7.1512e+22,7.2406e+22,7.0098e+22,7.1446e+22,7.2159e+22,7.4154e+22,7.317e+22,7.3927e+22,7.3926e+22,7.6075e+22,7.577e+22,7.6001e+22,7.5381e+22,7.7057e+22,7.6458e+22,7.637e+22,7.7959e+22,7.8635e+22,7.6535e+22,7.9808e+22,7.9303e+22,8.192e+22,8.1571e+22,8.2162e+22,8.1943e+22,8.4834e+22,8.298e+22,8.2294e+22,8.1588e+22,8.0572e+22,7.9586e+22,8.306e+22,8.2716e+22,8.7058e+22,8.6735e+22,8.8269e+22,8.805e+22,8.858e+22,8.7704e+22,8.8762e+22,8.7416e+22,8.9166e+22,8.9389e+22,9.2166e+22,9.2435e+22,9.3894e+22,9.1898e+22,9.597e+22,9.5447e+22,9.5695e+22,9.8005e+22,9.7876e+22,9.8776e+22,1.0027e+23,1.0217e+23,1.028e+23,1.0382e+23,1.0455e+23,1.0318e+23,1.0988e+23,1.1015e+23,1.0901e+23,1.0764e+23,1.0863e+23,1.1128e+23,1.1158e+23,1.1241e+23,1.1326e+23,1.1901e+23,1.195e+23,1.219e+23,1.2265e+23,1.2229e+23,1.2228e+23,1.2153e+23,1.2507e+23,1.2726e+23,1.3029e+23,1.3249e+23,1.3133e+23,1.3421e+23,1.3284e+23,1.3285e+23,1.341e+23,1.368e+23,1.3286e+23,1.3307e+23,1.2958e+23,1.2792e+23,1.2605e+23,1.2641e+23,1.2661e+23,1.2741e+23,1.2938e+23,1.3135e+23,1.3178e+23,1.3261e+23,1.3249e+23,1.3261e+23,1.3133e+23,1.3534e+23
9,B,False,1.7512e+23,1.7193e+23,1.7161e+23,1.7119e+23,1.6905e+23,1.6807e+23,1.6982e+23,1.704e+23,1.6982e+23,1.6941e+23,1.6671e+23,1.6793e+23,1.6728e+23,1.6709e+23,1.6822e+23,1.665e+23,1.6623e+23,1.6663e+23,1.6576e+23,1.6643e+23,1.6632e+23,1.6437e+23,1.6119e+23,1.6021e+23,1.6062e+23,1.5968e+23,1.5811e+23,1.5768e+23,1.5564e+23,1.566e+23,1.5964e+23,1.6167e+23,1.6142e+23,1.6122e+23,1.6105e+23,1.6121e+23,1.6384e+23,1.6522e+23,1.6475e+23,1.6422e+23,1.6526e+23,1.6331e+23,1.621e+23,1.6356e+23,1.6346e+23,1.6329e+23,1.6057e+23,1.595e+23,1.6012e+23,1.6052e+23,1.6094e+23,1.5984e+23,1.5849e+23,1.5752e+23,1.5667e+23,1.5719e+23,1.5757e+23,1.5638e+23,1.564e+23,1.5533e+23,1.53e+23,1.5366e+23,1.542e+23,1.5422e+23,1.5407e+23,1.5507e+23,1.5659e+23,1.5881e+23,1.604e+23,1.5931e+23,1.5646e+23,1.5664e+23,1.5491e+23,1.5347e+23,1.5394e+23,1.5178e+23,1.503e+23,1.4892e+23,1.4836e+23,1.4732e+23,1.4749e+23,1.4705e+23,1.4398e+23,1.4386e+23,1.4298e+23,1.4336e+23,1.4382e+23,1.4351e+23,1.4496e+23,1.4556e+23,1.4589e+23,1.4588e+23,1.4677e+23,1.4747e+23,1.4755e+23,1.4749e+23,1.4662e+23,1.4604e+23,1.4626e+23,1.4376e+23,1.4272e+23,1.4393e+23,1.4281e+23,1.4217e+23,1.4123e+23,1.4148e+23,1.3962e+23,1.402e+23,1.4086e+23,1.4106e+23,1.3979e+23,1.3761e+23,1.3651e+23,1.3514e+23,1.3427e+23,1.3357e+23,1.3204e+23,1.3287e+23,1.3152e+23
10,B,True,6.6293e+23,6.6178e+23,6.5954e+23,6.5985e+23,6.6084e+23,6.6206e+23,6.6423e+23,6.6729e+23,6.6709e+23,6.7095e+23,6.7154e+23,6.746e+23,6.7718e+23,6.7394e+23,6.7425e+23,6.7461e+23,6.733e+23,6.7066e+23,6.7267e+23,6.7346e+23,6.7279e+23,6.7316e+23,6.7169e+23,6.7151e+23,6.7185e+23,6.7335e+23,6.7451e+23,6.7521e+23,6.7518e+23,6.7333e+23,6.6985e+23,6.6879e+23,6.6729e+23,6.6591e+23,6.6801e+23,6.6746e+23,6.6894e+23,6.6892e+23,6.6701e+23,6.6582e+23,6.6861e+23,6.6713e+23,6.6519e+23,6.6509e+23,6.6515e+23,6.6344e+23,6.6199e+23,6.6183e+23,6.6144e+23,6.5958e+23,6.5658e+23,6.5531e+23,6.5522e+23,6.5434e+23,6.5656e+23,6.5979e+23,6.6215e+23,6.6505e+23,6.6443e+23,6.6762e+23,6.6881e+23,6.6754e+23,6.6788e+23,6.687e+23,6.6935e+23,6.6967e+23,6.6911e+23,6.6613e+23,6.6488e+23,6.6606e+23,6.6646e+23,6.639e+23,6.6312e+23,6.6286e+23,6.626e+23,6.6211e+23,6.6141e+23,6.5914e+23,6.5914e+23,6.5798e+23,6.5771e+23,6.5697e+23,6.5763e+23,6.5734e+23,6.5855e+23,6.554e+23,6.5312e+23,6.499e+23,6.4801e+23,6.4935e+23,6.4903e+23,6.4748e+23,6.4834e+23,6.4925e+23,6.515e+23,6.5051e+23,6.5119e+23,6.4985e+23,6.473e+23,6.5027e+23,6.5084e+23,6.5261e+23,6.5363e+23,6.531e+23,6.5445e+23,6.5351e+23,6.5187e+23,6.5261e+23,6.5354e+23,6.5682e+23,6.5633e+23,6.582e+23,6.5779e+23,6.5819e+23,6.5344e+23,6.5265e+23,6.4995e+23,6.4871e+23,6.4879e+23
11,B,True,1.796e+23,1.7619e+23,1.7313e+23,1.6883e+23,1.6795e+23,1.6696e+23,1.6661e+23,1.6489e+23,1.6494e+23,1.6236e+23,1.6397e+23,1.6518e+23,1.6568e+23,1.6443e+23,1.6584e+23,1.6749e+23,1.7094e+23,1.7282e+23,1.7514e+23,1.7446e+23,1.7281e+23,1.7243e+23,1.7042e+23,1.6639e+23,1.6445e+23,1.6279e+23,1.622e+23,1.6043e+23,1.5733e+23,1.5614e+23,1.5636e+23,1.5645e+23,1.5581e+23,1.5524e+23,1.5462e+23,1.5551e+23,1.5584e+23,1.56e+23,1.55e+23,1.5509e+23,1.5559e+23,1.5471e+23,1.5521e+23,1.559e+23,1.5612e+23,1.5642e+23,1.5648e+23,1.5507e+23,1.5502e+23,1.5616e+23,1.5508e+23,1.5603e+23,1.5851e+23,1.5999e+23,1.6041e+23,1.6261e+23,1.6454e+23,1.646e+23,1.6572e+23,1.6809e+23,1.7007e+23,1.7105e+23,1.7091e+23,1.7087e+23,1.6982e+23,1.6891e+23,1.6408e+23,1.624e+23,1.6341e+23,1.6192e+23,1.6279e+23,1.6232e+23,1.6299e+23,1.6419e+23,1.6515e+23,1.6586e+23,1.6743e+23,1.6895e+23,1.7176e+23,1.7238e+23,1.7256e+23,1.7348e+23,1.7321e+23,1.736e+23,1.7304e+23,1.7001e+23,1.7007e+23,1.6975e+23,1.6855e+23,1.6787e+23,1.6769e+23,1.6834e+23,1.6904e+23,1.6708e+23,1.6745e+23,1.6903e+23,1.6872e+23,1.6545e+23,1.6548e+23,1.6669e+23,1.6624e+23,1.666e+23,1.6624e+23,1.675e+23,1.6653e+23,1.648e+23,1.6494e+23,1.6601e+23,1.6599e+23,1.6661e+23,1.6625e+23,1.662e+23,1.6656e+23,1.6442e+23,1.6479e+23,1.6464e+23,1.6565e+23,1.651e+23,1.6407e+23
